CYXJ	YXJ		-8.0	A	56.238056	-120.740278	694.9	Fort St John	ca		Fort Saint John	168
CYXL	YXL		-6.0	A	50.113889	-91.905278	383.4	Sioux Lookout	ca		Sioux Lookout	169
CYXP	YXP		-5.0	A	66.145	-65.713611	22.9	Pangnirtung	ca		Pangnirtung	170
CYXR	YXR		-5.0	A	47.695	-79.848889	243.2	Timiskaming Rgnl	ca		Earlton	171
CYXS	YXS		-8.0	A	53.889444	-122.678889	691.0	Prince George	ca		Prince George	172
CYXT	YXT		-8.0	A	54.468508	-128.576219	217.3	Terrace	ca		Terrace	173
CYXU	YXU		-5.0	A	43.033056	-81.151111	278.0	London	ca		London	174
CYXX	YXX		-8.0	A	49.025278	-122.360556	59.4	Abbotsford	ca		Abbotsford	175
CYXY	YXY		-8.0	A	60.709553	-135.067269	706.2	Whitehorse Intl	ca		Whitehorse	176
CYYB	YYB		-5.0	A	46.363611	-79.422778	370.3	North Bay	ca		North Bay	177
CYYC	YYC		-7.0	A	51.113888	-114.020278	1084.2	Calgary Intl	ca		Calgary	178
CYYD	YYD		-8.0	A	54.824722	-127.182778	521.8	Smithers	ca		Smithers	179
CYYE	YYE		-8.0	A	58.836389	-122.596944	381.9	Fort Nelson	ca		Fort Nelson	180
CYYF	YYF		-8.0	A	49.463056	-119.602222	344.1	Penticton	ca		Penticton	181
CYYG	YYG		-4.0	A	46.290001	-63.121111	48.8	Charlottetown	ca		Charlottetown	182
CYYH	YYH		-6.0	A	69.546667	-93.576667	28.0	Taloyoak	ca		Spence Bay	183
CYYJ	YYJ		-8.0	A	48.646944	-123.425833	19.2	Victoria Intl	ca		Victoria	184
CYYL	YYL		-6.0	A	56.863888	-101.07611	356.6	Lynn Lake	ca		Lynn Lake	185
CYYN	YYN		-6.0	N	50.291944	-107.690556	816.9	Swift Current	ca		Swift Current	186
CYYQ	YYQ		-6.0	A	58.739167	-94.065	28.7	Churchill	ca		Churchill	187
CYYR	YYR		-4.0	A	53.319168	-60.425833	48.8	Goose Bay	ca		Goose Bay	188
CYYT	YYT		-3.5	A	47.61861	-52.751945	140.5	St Johns Intl	ca		St. John's	189
CYYU	YYU		-5.0	A	49.413889	-82.4675	226.5	Kapuskasing	ca		Kapuskasing	190
CYYW	YYW		-5.0	A	50.290279	-88.909721	322.5	Armstrong	ca		Armstrong	191
CYYY	YYY		-5.0	A	48.608612	-68.208056	52.4	Mont Joli	ca		Mont Joli	192
CYYZ	YYZ		-5.0	A	43.677223	-79.630556	173.4	Lester B Pearson Intl	ca		Toronto	193
CYZD	YZD		-5.0	A	43.7425	-79.465556	198.7	Downsview	ca		Toronto	194
CYZE	YZE		-5.0	A	45.885277	-82.567778	193.5	Gore Bay Manitoulin	ca		Gore Bay	195
CYZF	YZF		-7.0	A	62.462778	-114.440278	205.7	Yellowknife	ca		Yellowknife	196
CYZH	YZH		-7.0	A	55.293056	-114.777222	582.8	Slave Lake	ca		Slave Lake	197
CYZP	YZP		-8.0	A	53.254333	-131.813833	6.4	Sandspit	ca		Sandspit	198
CYZR	YZR		-5.0	A	42.999444	-82.308889	181.1	Chris Hadfield	ca		Sarnia	199
CYZT	YZT		-8.0	A	50.680556	-127.366667	21.6	Port Hardy	ca		Port Hardy	200
CYZU	YZU		-7.0	A	54.14389	-115.786667	782.4	Whitecourt	ca		Whitecourt	201
CYZV	YZV		-5.0	A	50.223333	-66.265556	54.9	Sept Iles	ca		Sept-iles	202
CYZW	YZW		-8.0	A	60.172779	-132.742778	705.0	Teslin	ca		Teslin	203
CYZX	YZX		-4.0	A	44.984444	-64.916944	28.0	Greenwood	ca		Greenwood	204
CZFA	ZFA		-8.0	A	62.2075	-133.375833	716.6	Faro	ca		Faro	205
CZFM	ZFM		-7.0	A	67.4075	-134.860556	35.4	Fort Mcpherson	ca		Fort Mcpherson	206
DAAB			1.0	N	36.503613	2.814167	163.1	Blida	dz		Blida	207
DAAD			1.0	N	35.3325	4.206389	459.0	Bou Saada	dz		Bou Saada	208
DAAE	BJA		1.0	N	36.711997	5.069922	6.1	Soummam	dz		Bejaja	209
DAAG	ALG		1.0	N	36.691014	3.215408	25.0	Houari Boumediene	dz		Algier	210
DAAJ	DJG		1.0	N	24.292767	9.452444	968.0	Tiska	dz		Djanet	211
DAAK			1.0	N	36.545834	2.876111	102.1	Boufarik	dz		Boufarik	212
DAAN			1.0	N	26.710103	0.285647	291.1	Reggane	dz		Reggan	213
DAAP	VVZ		1.0	N	26.723536	8.622653	541.9	Illizi Takhamalt	dz		Illizi	214
DAAQ			1.0	N	35.525414	2.878714	649.8	Ain Oussera	dz		Ain Oussera	215
DAAT	TMR		1.0	N	22.811461	5.451075	1377.1	Tamanrasset	dz		Tamanrasset	216
DAAV	GJL		1.0	N	36.795136	5.873608	11.0	Jijel	dz		Jijel	217
DAAY			1.0	N	33.535853	-0.242353	1175.0	Mecheria	dz		Mecheria	218
DAAZ			1.0	N	35.752239	0.626272	86.0	Relizane	dz		Relizane	219
DABB	AAE		1.0	N	36.822225	7.809167	4.9	Annaba	dz		Annaba	220
DABC	CZL		1.0	N	36.276028	6.620386	690.4	Mohamed Boudiaf Intl	dz		Constantine	221
DABS	TEE		1.0	N	35.431611	8.120717	811.1	Cheikh Larbi Tebessi	dz		Tebessa	222
DAFH	HRM		1.0	N	32.930431	3.311542	774.2	Hassi R Mel	dz		Tilrempt	224
DAOB	TID		1.0	N	35.341136	1.463147	989.1	Bou Chekif	dz		Tiaret	225
DAOE			1.0	N	35.735389	-0.805389	57.0	Bou Sfer	dz		Bou Sfer	226
DAOF	TIN		1.0	N	27.700372	-8.167103	442.9	Tindouf	dz		Tindouf	227
DAOI			1.0	N	36.212658	1.331775	141.1	Ech Cheliff	dz		Ech-cheliff	228
DAOL	TAF		1.0	N	35.542444	-0.532278	111.9	Tafaraoui	dz		Oran	229
DAON	TLM		1.0	N	35.016667	-1.45	248.1	Zenata	dz		Tlemcen	230
DAOO	ORN		1.0	N	35.623858	-0.621183	89.9	Es Senia	dz		Oran	231
DAOS			1.0	N	35.171775	-0.593275	491.9	Sidi Bel Abbes	dz		Sidi Bel Abbes	232
DAOV	MUW		1.0	N	35.207725	0.147142	513.9	Ghriss	dz		Ghriss	233
DAUA	AZR		1.0	N	27.837589	-0.186414	280.1	Touat Cheikh Sidi Mohamed Belkebir	dz		Adrar	234
DAUB	BSK		1.0	N	34.793289	5.738231	88.1	Biskra	dz		Biskra	235
DAUE	ELG		1.0	N	30.571294	2.859586	398.1	El Golea	dz		El Golea	236
DAUG	GHA		1.0	N	32.384106	3.794114	460.9	Noumerat	dz		Ghardaia	237
DAUH	HME		1.0	N	31.672972	6.140444	141.1	Oued Irara	dz		Hassi-messaoud	238
DAUI	INZ		1.0	N	27.251022	2.512017	273.1	In Salah	dz		In Salah	239
DAUK	TGR		1.0	N	33.067803	6.088672	85.0	Sidi Mahdi	dz		Touggourt	240
DAUL	LOO		1.0	N	33.764383	2.928344	765.0	Laghouat	dz		Laghouat	241
DAUT	TMX		1.0	N	29.237119	0.276033	313.0	Timimoun	dz		Timimoun	242
DAUU	OGX		1.0	N	31.917223	5.412778	150.0	Ouargla	dz		Ouargla	243
DAUZ	IAM		1.0	N	28.05155	9.642911	563.0	In Amenas	dz		Zarzaitine	244
DBBB	COO		1.0	N	6.357228	2.384353	5.8	Cadjehoun	bj		Cotonou	245
