		19A			34.17402472	-83.56066528		Jackson County	us	GA	Jefferson	
		19M			33.12546111	-90.02555694		C A Moore	us	MS	Lexington	
		19N			39.77842056	-74.94780389		Camden	us	NJ	Berlin	
		19P			56.32880417	-133.6100844		Port Protection SPB	us	AK	Port Protection	
		1A3			35.01619111	-84.34631083		Martin Campbell	us	TN	Copperhill	
		1A5			35.222595	-83.41904389		Macon County	us	NC	Franklin	
		1A6			36.6106375	-83.73741611		Middlesboro-Bell County	us	KY	Middlesboro	
		1A7			36.39728139	-85.64164278		Jackson County	us	TN	Gainesboro	
		1A9			32.438775	-86.51044778		Autauga County	us	AL	Prattville	
		1B0			45.00839444	-69.23976722		Dexter Regional	us	ME	Dexter	
		1B1			42.29130028	-73.71031944		Columbia Cty	us	NY	Hudson	
		1B3			43.61534389	-73.27455556		Fair Haven	us	VT	Fair Haven	
		1B9			42.00013306	-71.19677139		Mansfield Municipal	us	MA	Mansfield	
		1C5			41.69597444	-88.12923056		Clow	us	IL	Chicago/Plainfield	
		1D1			45.23053806	-96.56596556		Milbank Municipal	us	SD	Milbank	
		1D2			42.35003667	-83.45826833		Canton -Plymouth - Mettetal	us	MI	Plymouth	
		1D3			43.40332833	-98.82952972		Platte Municipal	us	SD	Platte	
		1D6			44.73107278	-94.71471333		Hector Municipal	us	MN	Hector	
		1D7			45.29329111	-97.51369889		Webster Municipal	us	SD	Webster	
		1D8			44.86247611	-98.52953972		Redfield Municipal	us	SD	Redfield	
		1F0			34.14698917	-97.12265194		Downtown Ardmore	us	OK	Ardmore	
		1F1			34.07509694	-97.10667917		Lake Murray State Park	us	OK	Overbrook	
		1F4			34.14040194	-96.81203222		Madill Municipal	us	OK	Madill	
		1F9			33.17533333	-97.82838889		Bridgeport Municipal	us	TX	Bridgeport	
		1G0			41.391	-83.63013889		Wood County	us	OH	Bowling Green	
		1G3			41.15186167	-81.41658306		Kent State University	us	OH	Kent	
		1G4			35.99221	-113.8166164		Grand Canyon West	us	AZ	Peach Springs	
		1G5			41.13144444	-81.76491667		Freedom	us	OH	Medina	
		1G6			43.18166667	-76.12777778		Michael	us	NY	Cicero	
		1H0			38.72752	-90.50830417		Creve Coeur	us	MO	St Louis	
		1H2			39.07045083	-88.53351972		Effingham County Memorial	us	IL	Effingham	
		1H3			38.47149444	-91.81531667		Linn State Tech. College	us	MO	Linn	
		1H8			39.30250917	-88.00406194		Casey Municipal	us	IL	Casey	
		1I5			42.36425	-74.06596806		Freehold	us	NY	Freehold	
		1I9			40.54281417	-86.68167194		Delphi Municipal	us	IN	Delphi	
		1J0			30.84577778	-85.60138889		Tri-County	us	FL	Bonifay	
		1K2			34.85007333	-97.58642028		Lindsay Municipal	us	OK	Lindsay	
		1K4			35.1550675	-97.47039389		David J. Perry	us	OK	Goldsby	
		1K5			36.56670028	-98.85231333		Waynoka Municipal	us	OK	Waynoka	
		1K9			37.45419111	-100.9921119		Satanta Municipal	us	KS	Satanta	
		1L0			30.08720833	-90.58266528		St John the Baptist Parish	us	LA	Reserve	
		1L1			37.78746444	-114.4216567		Lincoln Co	us	NV	Panaca	
		1L7			37.74532639	-111.5701653		Escalante Municipal	us	UT	Escalante	
		1L9			37.85969694	-112.816055		Parowan	us	UT	Parowan	
		1M1			34.83398056	-92.25792778		North Little Rock Municipal	us	AR	No Lit Rock	
		1M2			33.14518056	-90.51528472		Belzoni Municipal	us	MS	Belzoni	
		1M4			34.28034806	-87.60044139		Posey	us	AL	Haleyville	
		1M5			36.59287528	-86.47691028		Portland Municipal	us	TN	Portland	
		1M7			36.52589417	-88.91561611		Fulton	us	KY	Fulton	
		1MO			37.12071889	-92.311245		Mountain Grove Memorial	us	MO	Mountain Grove	
		1N2			40.82787639	-72.74871083		Spadaro	us	NY	East Moriches	
		1N4			39.21915	-74.794765		Woodbine Muni	us	NJ	Woodbine	
		1N7			40.97114556	-74.99747556		Blairstown	us	NJ	Blairstown	
		1N9			40.57027778	-75.48830556		Allentown Queen City Muni	us	PA	Allentown	
		1ND3			46.6485775	-97.00564306		Hamry	us	ND	Kindred	
		1O1			34.23758944	-98.74200917		Grandfield Municipal	us	OK	Grandfield	
		1O2			38.99017472	-122.8997175		Lampson	us	CA	Lakeport	
		1O3			38.20241667	-121.2684167		Lodi	us	CA	Lodi	
		1O4			35.73338222	-98.73063833		Thomas Municipal	us	OK	Thomas	
		1O6			41.26320889	-122.2719528		Dunsmuir Municipal-Mott	us	CA	Dunsmuir	
		1R1			31.671005	-92.15846722		Jena	us	LA	Jena	
		1R7			31.6058475	-90.40931583		Brookhaven-Lincoln County	us	MS	Brookhaven	
		1R8			30.87046278	-87.81738167		Bay Minette Municipal	us	AL	Bay Minette	
		1S0			47.10391667	-122.2871944		Pierce County	us	WA	Puyallup	
		1S3			46.27110639	-106.6239206		Tillitt	us	MT	Forsyth	
		1S5			46.32763139	-119.9705964		Sunnyside Municipal	us	WA	Sunnyside	
		1S6			48.19018611	-116.9093644		Priest River Muni	us	ID	Priest River	
		1U7			42.24714972	-111.33826		Bear Lake County	us	ID	Paris	
		1V0			36.80833833	-107.6514444		Navajo State Park	us	NM	Navajo Dam	
		1V2			42.00942944	-101.7693439		Grant County	us	NE	Hyannis	
		1V5			40.03942972	-105.2258217		Boulder Muni	us	CO	Boulder	
		1V6			38.42838111	-105.1054994		Fremont County	us	CO	Canon City	
		1V9			38.78539722	-108.0636611		Blake	us	CO	Delta	
		20A			33.97231972	-86.37942722		Robbins	us	AL	Oneonta	
		20M			33.13345889	-88.53559806		Macon Municipal	us	MS	Macon	
		20N			41.9852525	-73.96409722		Kingston-Ulster	us	NY	Kingston	
		20U			46.92362444	-103.9785389		Beach	us	ND	Beach	
		20V			40.05367972	-106.3689467		McElroy Airfield	us	CO	Kremmling	
		21D			44.99748861	-92.85568111		Lake Elmo	us	MN	St Paul	
		21F			33.228725	-98.14671083		Jacksboro Municipal	us	TX	Jacksboro	
		22B			41.77287528	-73.01121667		Mountain Meadow Airstrip	us	CT	Burlington	
		22I			39.328125	-82.44182167		Vinton County	us	OH	McArthur	
		22M			34.27593833	-89.03839694		Pontotoc County	us	MS	Pontotoc	
		22N			40.80950889	-75.76149639		Carbon Cty-Jake Arner Memorial	us	PA	Lehighton	
		23J			30.27778889	-81.80594722		Herlong	us	FL	Jacksonville	
		23M			32.08487111	-88.73893389		Clarke County	us	MS	Quitman	
		23N			40.75843139	-73.05372083		Bayport Aerodrome	us	NY	Bayport	
		23R			29.1384075	-98.94189028		Devine Municipal	us	TX	Devine	
		24A			35.3168625	-83.20936806		Jackson County	us	NC	Sylva	
		24J			30.30105583	-83.02318778		Suwannee County	us	FL	Live Oak	
		24N			36.828535	-106.8841914		Jicarilla Apache Nation	us	NM	Dulce	
		25J			31.70016583	-84.82492194		Cuthbert-Randolph	us	GA	Cuthbert	
		25M			34.72226778	-89.01504944		Ripley	us	MS	Ripley	
		25R			26.44201083	-98.12945306		Intl	us	TX	Edinburg	
		26A			33.28761417	-85.80412861		Ashland/Lineville	us	AL	Ashland/Lineville	
		26N			39.26347222	-74.60747222		Ocean City Muni cipal	us	NJ	Ocean City	
		26R			29.00101	-96.58194667		Jackson County	us	TX	Edna/Ganado	
		26U			42.00211083	-117.7231972		McDermitt State	us	OR	McDermitt	
		27A			34.09519722	-82.81586417		Elbert County-Patz	us	GA	Elberton	
		27D			44.72801889	-96.26309972		Myers	us	MN	Canby	
		27J			34.30927778	-81.63972222		Newberry Municipal	us	SC	Newberry	
		27K			38.23442528	-84.43468667		Georgetown-Scott County	us	KY	Georgetown	
		28J			29.65863889	-81.68855556		Kay Larkin	us	FL	Palatka	
		29D			41.14597611	-80.16592194		Grove City	us	PA	Grove City	
		29G			41.210195	-81.25163083		Portage County	us	OH	Ravenna	
		29S			45.04993556	-110.7466008		Gardiner	us	MT	Gardiner	
		2A0			35.48624611	-84.93109722		Mark Anton	us	TN	Dayton	
		2A1			36.34970833	-84.94664472		Jamestown Municipal	us	TN	Jamestown	
		2A3			57.53510667	-153.9784169		Larsen Bay	us	AK	Larsen Bay	
		2A9			63.03116111	-163.5299278		Kotlik	us	AK	Kotlik	
		2AK			61.35848528	-155.4403508		Lime Village	us	AK	Lime Village	
		2B3			43.38812944	-72.18925417		Parlin	us	NH	Newport	
		2B7			44.76852778	-69.37441667		Pittsfield Municipal	us	ME	Pittsfield	
		2B9			43.884235	-72.25370333		Post Mills	us	VT	Post Mills	
		2D1			40.97089139	-81.09981889		Barber	us	OH	Alliance	
		2D5			46.17301972	-98.07987556		Oakes Municipal	us	ND	Oakes	
		2F5			32.75627778	-101.9194722		Lamesa Municipal	us	TX	Lamesa	
		2F6			36.357035	-96.01138556		Skiatook Municipal	us	OK	Skiatook	
		2F7			33.29288889	-95.89641806		Commerce Municipal	us	TX	Commerce	
		2F8			32.75607944	-91.88057194		Morehouse Memorial	us	LA	Bastrop	
		2G2			40.35944306	-80.70007806		Jefferson County Airpark	us	OH	Steubenville	
		2G3			39.95893667	-79.65713306		Connellsville	us	PA	Connellsville	
		2G4			39.58027778	-79.33941667		Garrett County	us	MD	Oakland	
		2G9			40.03911111	-79.01455556		Somerset County	us	PA	Somerset	
		2H0			39.41042861	-88.8454325		Shelby County	us	IL	Shelbyville	
		2H2			36.96230778	-93.69531111		Aurora Memorial Municipal	us	MO	Aurora	
		2I0			37.35502778	-87.39963889		Madisonville Municipal	us	KY	Madisonville	
		2I5			40.29355556	-88.14236111		Chanute	us	IL	Rantoul	
		2IS			26.74200972	-81.04978917		Airglades	us	FL	Clewiston	
		2J2			31.78461111	-81.64116667		Liberty County	us	GA	Hinesville	
		2J3			32.98654083	-82.38568139		Louisville Municipal	us	GA	Louisville	
		2J5			32.89376972	-81.96511583		Millen	us	GA	Millen	
		2J9			30.59786111	-84.55741667		Quincy Municipal	us	FL	Quincy	
		2K3			37.58271111	-101.73281		Stanton County Municipal	us	KS	Johnson	
		2K4			34.89172583	-99.52675667		Scott	us	OK	Mangum	
		2K5			63.39387278	-153.2689733		Telida	us	AK	Telida	
		2M0			37.11560444	-87.85556944		Princeton-Caldwell County	us	KY	Princeton	
		2M2			35.2343025	-87.25793222		Lawrenceburg Municipal	us	TN	Lawrenceburg	
		2M3			35.43816667	-94.80277778		Sallisaw Municipal	us	OK	Sallisaw	
		2M4			32.35347778	-89.48867944		G. V. Montgomery	us	MS	Forest	
		2M8			35.27897583	-89.93147611		Charles W. Baker	us	TN	Millington	
		2O1			39.94378056	-120.9468983		Gansner	us	CA	Quincy	
		2O3			38.57851778	-122.4352572		Angwin-Parrett	us	CA	Angwin	
		2O6			37.11244417	-120.2468406		Chowchilla	us	CA	Chowchilla	
		2O7			36.81382111	-118.2050956		Independence	us	CA	Independence	
		2O8			35.50592472	-98.34236111		Hinton Municipal	us	OK	Hinton	
		2P2			45.38620833	-86.92448056		Washington Island	us	WI	Washington Island	
		2Q3			38.5790725	-121.8566322		Yolo Co-Davis/Woodland/Winters	us	CA	Davis/Woodland/Winters	
		2R0			31.64599472	-88.63475667		Waynesboro Municipal	us	MS	Waynesboro	
		2R4			30.63762083	-86.99365278		Peter Prince	us	FL	Milton	
		2R5			30.50190833	-88.27511667		St Elmo	us	AL	St Elmo	
		2R9			28.8250075	-97.86558333		Karnes County	us	TX	Kenedy	
		2S1			47.45815333	-122.4773506		Vashon Municipal	us	WA	Vashon	
		2S6			45.29567333	-122.9553783		Sportsman Airpark	us	OR	Newberg	
		2S7			42.58319167	-121.8761261		Chiloquin State	us	OR	Chiloquin	
		2S8			47.75320639	-118.7438936		Wilbur	us	WA	Wilbur	
		2T1			34.18513639	-102.6410981		Muleshoe Municipal	us	TX	Muleshoe	
		2V1			37.277505	-107.0558742		Stevens	us	CO	Pagosa Springs	
		2V2			40.16367139	-105.1630369		Vance Brand	us	CO	Longmont	
		2V5			40.10032333	-102.24096		Wray Municipal	us	CO	Wray	
		2V6			40.10415306	-102.7129869		Yuma Municipal	us	CO	Yuma	
		2W5			38.60053667	-77.07296917		Maryland	us	MD	Indian Head	
		2W6			38.31536111	-76.55011111		Captain Walter Francis Duke Regional	us	MD	Leonardtown	
		2Y3			59.5624775	-139.7410994		Yakutat SPB	us	AK	Yakutat	
		2Y4			42.38748056	-94.61803333		Rockwell City Municipal	us	IA	Rockwell City	
		31F			32.67535389	-102.652685		Gaines County	us	TX	Seminole	
		32M			42.12787528	-71.37033556		Norfolk	us	MA	Norfolk	
		32S			46.52511111	-114.0528056		Stevensville	us	MT	Stevensville	
		33J			31.05527778	-85.88033333		Geneva Municipal	us	AL	Geneva	
		33M			34.16677639	-89.68619722		Water Valley	us	MS	Water Valley	
		33N			39.21837556	-75.59642667		Delaware Airpark	us	DE	Dover	
		33S			47.12487194	-118.3927539		Pru	us	WA	Ritzville	
		34A			34.50705556	-81.94719444		Laurens County	us	SC	Laurens	
		35A			34.68680111	-81.64121167		Union County, Troy Shelton	us	SC	Union	
		35D			42.53098278	-85.82513556		Padgham	us	MI	Allegan	
		35S			45.58944444	-120.6741667		Wasco State	us	OR	Wasco	
		36K			37.96946389	-101.2554472		Lakin	us	KS	Lakin	
		36S			41.79067944	-123.3889444		Happy Camp	us	CA	Happy Camp	
		36U			40.48180556	-111.4288056		Heber City Municipal/Russ McDonald	us	UT	Heber	
		37T			36.16565278	-92.14523611		Calico Rock-Izard County	us	AR	Calico Rock	
		37W			35.37880028	-78.73362917		Harnett County	us	NC	Erwin	
		38A			64.36263194	-161.2025369		Shaktoolik	us	AK	Shaktoolik	
		38S			46.38881583	-112.7669842		Deer Lodge-City-County	us	MT	Deer Lodge	
		38U			38.36247972	-111.5960164		Wayne Wonderland	us	UT	Loa	
		39N			40.39834833	-74.65760361		Princeton	us	NJ	Princeton	
		3A0			31.68932389	-87.7613875		Grove Hill Municipal	us	AL	Grove Hill	
		3A1			34.26870833	-86.85833611		Folsom	us	AL	Cullman	
		3A2			36.41008417	-83.55546167		New Tazewell Municipal	us	TN	Tazewell	
		3A3			35.02397611	-80.08127333		Anson County	us	NC	Wadesboro	
		3AU			37.67162778	-97.07787222		Augusta Municipal	us	KS	Augusta	
		3B0			42.10092806	-72.03840833		Southbridge Municipal	us	MA	Southbridge	
		3B1			45.46302778	-69.55161111		Greenville Municipal	us	ME	Greenville	
		3B2			42.09824111	-70.67212083		Marshfield	us	MA	Marshfield	
		3B9			41.38390472	-72.50589444		Chester	us	CT	Chester	
		3BS			43.66291528	-84.261325		Jack Barstow	us	MI	Midland	
		3CK			42.20680306	-88.32304028		Lake In The Hills	us	IL	Lake In The Hills	
		3CM			43.54691667	-83.89550222		James Clements Municipal	us	MI	Bay City	
		3CU			46.19424889	-91.24640972		Cable Union	us	WI	Cable	
		3D2			45.13535778	-87.18586556		Ephraim/Gibraltar	us	WI	Ephraim	
		3D4			44.62506389	-86.20061944		Frankfort Dow Memorial	us	MI	Frankfort	
		3F3			32.07345972	-93.76551889		De Soto Parish	us	LA	Mansfield	
		3F4			32.86133333	-94.01015361		Vivian	us	LA	Vivian	
		3F7			35.80685278	-96.42185556		Jones Memorial	us	OK	Bristow	
		3FM			43.43890528	-85.99478		Fremont Municipal	us	MI	Fremont	
		3FU			45.03191861	-99.11566417		Faulkton Municipal	us	SD	Faulkton	
		3G3			41.00158222	-81.75513111		Wadsworth Municipal	us	OH	Wadsworth	
		3G4			40.90297222	-82.25563889		Ashland County	us	OH	Ashland	
		3G7			43.23472222	-77.12097222		Williamson/Sodus	us	NY	Williamson	
		3GM			43.03404639	-86.1981625		Grand Haven Memorial Airpark	us	MI	Grand Haven	
		3I2			38.91463889	-82.09858333		Mason County	us	WV	Point Pleasant	
		3I7			39.91344194	-84.40030889		Phillipsburg	us	OH	Phillipsburg	
		3J1			32.49268694	-80.99233028		Ridgeland	us	SC	Ridgeland	
		3J7			33.59766667	-83.139		Greene County Airpark	us	GA	Greensboro	
		3JC			39.04327556	-96.84328694		Freeman	us	KS	Junction City	
		3K3			37.99167972	-101.7462822		Syracuse-Hamilton County Municipal	us	KS	Syracuse	
		3K6			38.73290861	-89.80656722		St Louis-Metro East	us	IL	Troy/Marine/St Louis	
		3K7			38.45696333	-101.3532161		Mark Hoard Memorial	us	KS	Leoti	
		3LC			40.15847222	-89.33497222		Logan County	us	IL	Lincoln	
		3LF			39.16635306	-89.67489694		Litchfield Municipal	us	IL	Litchfield	
		3M7			36.518375	-86.05828083		Lafayette Municipal	us	TN	Lafayette	
		3M8			33.38900611	-88.00557806		North Pickens	us	AL	Reform	
		3M9			33.56044333	-92.08538861		Warren Municipal	us	AR	Warren	
		3MY			40.79525917	-89.6134025		Mt. Hawley Auxiliary	us	IL	Peoria	
		3N6			40.32988667	-74.34678694		Old Bridge	us	NJ	Old Bridge	
		3N8			47.25996056	-95.92809778		Mahnomen County	us	MN	Mahnomen	
		3ND0			47.72423333	-97.59042222		Northwood Municipal	us	ND	Northwood	
		3O1			37.26271722	-120.9632586		Gustine	us	CA	Gustine	
		3O3			34.97979444	-97.38586167		Municipal	us	OK	Purcell	
		3O4			35.16755222	-99.65787361		Sayre Municipal	us	OK	Sayre	
		3O5			34.37258444	-98.40588583		Walters Municipal	us	OK	Walters	
		3O7			36.89334528	-121.4102706		Hollister Municipal	us	CA	Hollister	
		3O9			36.5775775	-94.86190028		Grand Lake Regional	us	OK	Afton	
		3R0			28.36455528	-97.79208194		Beeville Municipal	us	TX	Beeville	
		3R1			28.973255	-95.86345528		Bay City Municipal	us	TX	Bay City	
		3R2			30.16173611	-92.48396111		Le Gros Memorial	us	LA	Crowley	
		3R4			31.54489667	-93.48645306		Hart	us	LA	Many	
		3R7			30.24269333	-92.67344778		Jennings	us	LA	Jennings	
