AGAF	AFT		Afutara Airport	Afutara, Solomon Islands
CYEU	YEU		Eureka Aerodrome	Eureka, Nunavut, Canada
CYEV	YEV		Inuvik (Mike Zubko) Airport	Inuvik, Northwest Territories, Canada
CYEY	YEY		Amos/Magny Airport	Amos, Quebec, Canada
CYFA	YFA		Fort Albany Airport	Fort Albany, Ontario, Canada
CYFB	YFB		Iqaluit Airport	Iqaluit, Nunavut, Canada
CYFC	YFC		Fredericton International Airport	Fredericton, New Brunswick, Canada
CYFD	YFD		Brantford Airport	Brantford, Ontario, Canada
CYFE	YFE		Forestville Airport	Forestville, Quebec, Canada
CYFH	YFH		Fort Hope Airport	Fort Hope, Ontario, Canada
CYFJ	YTM		Rivière Rouge/Mont-Tremblant International Airport	Mont-Tremblant (La Macaza), Quebec, Canada
CYFL	YFL		Fort Reliance Airport	Fort Reliance, Northwest Territories, Canada
CYFO	YFO		Flin Flon Airport	Flin Flon, Manitoba, Canada
CYFR	YFR		Fort Resolution Airport	Fort Resolution, Northwest Territories, Canada
CYFS	YFS		Fort Simpson Airport	Fort Simpson, Northwest Territories, Canada
CYFT	YMN		Makkovik Airport	Makkovik, Newfoundland and Labrador, Canada
CYGA	YGA		Gagnon Airport	Gagnon, Quebec, Canada
CYGB	YGB		Texada/Gillies Bay Airport	Texada Island, British Columbia, Canada
CYGH	YGH		Fort Good Hope Airport	Fort Good Hope, Northwest Territories, Canada
CYGK	YGK		Kingston/Norman Rogers Airport	Kingston, Ontario, Canada
CYGL	YGL		La Grande Rivière Airport	Radisson, Quebec, Canada
CYGM	YGM		Gimli Industrial Park Airport	Gimli, Manitoba, Canada
CYGO	YGO		Gods Lake Narrows Airport	Gods Lake Narrows, Manitoba, Canada
CYGP	YGP		Michel-Pouliot Gaspé Airport	Gaspé, Quebec, Canada
CYGQ	YGQ		Geraldton (Greenstone Regional) Airport	Geraldton, Ontario, Canada
CYGR	YGR		Îles-de-la-Madeleine Airport	Iles-de-la-Madeleine, Quebec, Canada
CYGS	YGS		Germansen Landing Airport	Germansen Landing, British Columbia, Canada
CYGT	YGT		Igloolik Airport	Igloolik, Nunavut, Canada
CYGV	YGV		Havre Saint-Pierre Airport	Havre-Saint-Pierre, Quebec, Canada
CYGW	YGW		Kuujjuarapik Airport	Kuujjuarapik, Quebec, Canada
CYGX	YGX		Gillam Airport	Gillam, Manitoba, Canada
CYGY	YGY		Deception Airport (Deception Bay Airport)	Deception, Quebec, Canada
CYGZ	YGZ		Grise Fiord Airport	Grise Fiord, Nunavut, Canada
CYHA	YQC		Quaqtaq Airport	Quaqtaq, Quebec, Canada
CYHB	YHB		Hudson Bay Airport	Hudson Bay, Saskatchewan, Canada
CYHC	CXH		Vancouver Harbour Water Aerodrome (Coal Harbour Seaplane Base)	Vancouver, British Columbia, Canada
CYHD	YHD		Dryden Regional Airport	Dryden, Ontario, Canada
CYHE	YHE		Hope Aerodrome	Hope, British Columbia, Canada
CYHF	YHF		Hearst (René Fontaine) Municipal Airport	Hearst, Ontario, Canada
CYHH	YNS		Nemiscau Airport	Nemiscau, Quebec, Canada
CYHI	YHI		Ulukhaktok/Holman Airport	Ulukhaktok, Northwest Territories, Canada
CYHK	YHK		Gjoa Haven Airport	Gjoa Haven, Nunavut, Canada
CYHM	YHM		John C. Munro Hamilton International Airport	Hamilton, Ontario, Canada
CYHN	YHN		Hornepayne Municipal Airport	Hornepayne, Ontario, Canada
CYHO	YHO		Hopedale Airport	Hopedale, Labrador, Canada
CYHP	YHP		Poplar Hill Airport	Poplar Hill, Ontario, Canada
CYHR	YHR		Chevery Airport	Chevery, Quebec, Canada
CYHT	YHT		Haines Junction Airport	Haines Junction, Yukon, Canada
CYHU	YHU		Montréal/Saint-Hubert Airport	Saint-Hubert, Longueuil (near Montreal), Quebec, Canada
CYHY	YHY		Hay River/Merlyn Carter Airport	Hay River, Northwest Territories, Canada
CYHZ	YHZ		Halifax Stanfield International Airport	Enfield, Nova Scotia, Canada
CYIB	YIB		Atikokan Municipal Airport	Atikokan, Ontario, Canada
CYID	YDG		Digby/Annapolis Regional Airport	Digby, Nova Scotia, Canada
CYIF	YIF		Saint-Augustin Airport	Saint-Augustin, Quebec, Canada
CYIK	YIK		Ivujivik Airport	Ivujivik, Québec, Canada
CYIO	YIO		Pond Inlet Airport	Pond Inlet, Nunavut, Canada
CYIV	YIV		Island Lake Airport	Island Lake, Manitoba, Canada
CYJA	YJA		Jasper Airport	Jasper, Alberta, Canada
CYJF	YJF		Fort Liard Airport	Fort Liard, Northwest Territories, Canada
CYJN	YJN		Saint-Jean Airport	Saint-Jean-sur-Richelieu, Quebec, Canada
CYJQ	ZEL		Denny Island Aerodrome	Bella Bella, British Columbia, Canada
CYJT	YJT		Stephenville Airport	Stephenville, Newfoundland and Labrador, Canada
CYKA	YKA		Kamloops Airport	Kamloops, British Columbia, Canada
CYKC	YKC		Collins Bay Airport	Collins Bay, Saskatchewan, Canada
CYKD	LAK		Aklavik Airport	Aklavik, Northwest Territories, Canada
CYKF	YKF		Region of Waterloo International Airport	Waterloo Regional Municipality, Ontario, Canada
CYKG	YWB		Wakeham Bay Airport	Kangiqsujuaq, Quebec, Canada
CYKL	YKL		Schefferville Airport	Schefferville, Quebec, Canada
CYKO	AKV		Akulivik Airport	Akulivik, Quebec, Canada
CYKQ	YKQ		Waskaganish Airport	Waskaganish, Quebec, Canada
CYKX	YKX		Kirkland Lake Airport	Kirkland Lake, Ontario, Canada
CYKY	YKY		Kindersley Airport	Kindersley, Saskatchewan, Canada
CYKZ	YKZ		Toronto/Buttonville Municipal Airport	Buttonville, Ontario, Canada
CYLA	YPJ		Aupaluk Airport	Aupaluk, Quebec, Canada
CYLB	YLB		Lac La Biche Airport	Lac La Biche, Alberta, Canada
CYLC	YLC		Kimmirut Airport	Kimmirut, Nunavut, Canada
CYLD	YLD		Chapleau Airport	Chapleau, Ontario, Canada
CYLH	YLH		Lansdowne House Airport	Lansdowne House, Ontario, Canada
CYLJ	YLJ		Meadow Lake Airport	Meadow Lake, Saskatchewan, Canada
CYLL	YLL		Lloydminster Airport	Lloydminster, Alberta/Saskatchewan, Canada
CYLO	YLO		Shilo Airport	Shilo, Manitoba, Canada
CYLP	YLP		Mingan Airport	Mingan, Quebec, Canada
CYLQ	YLQ		La Tuque Airport	La Tuque, Quebec, Canada
CYLR	YLR		Leaf Rapids Airport	Leaf Rapids, Manitoba, Canada
CYLT	YLT		Alert Airport	Alert, Nunavut, Canada
CYLU	XGR		Kangiqsualujjuaq (Georges River) Airport	Kangiqsualujjuaq, Quebec, Canada
CYLW	YLW		Kelowna International Airport	Kelowna, British Columbia, Canada
CYMA	YMA		Mayo Airport	Mayo, Yukon, Canada
CYMD	YMD		Mould Bay Airport	Mould Bay, Northwest Territories, Canada
CYME	YME		Matane Airport	Matane, Quebec, Canada
