alk			I	Active	L	Alak		Alak
all			I	Active	L	Allar		Allar
alm			I	Active	L	Amblong		Amblong
aln			I	Active	L	Albanian, Gheg	Albanian, Gheg	Gheg Albanian
alo			I	Active	L	Larike-Wakasihu		Larike-Wakasihu
alp			I	Active	L	Alune		Alune
alq			I	Active	L	Algonquin		Algonquin
alr			I	Active	L	Alutor		Alutor
als			I	Active	L	Albanian, Tosk	Albanian, Tosk	Tosk Albanian
alt		alt	I	Active	L	Altai, Southern	Altai, Southern	Southern Altai
alu			I	Active	L	'Are'are		'Are'are
alv		alv	C	Active	Genetic	Atlantic-Congo languages		Atlantic-Congo languages
alw			I	Active	L	Alaba-K’abeena		Alaba-K’abeena
alx			I	Active	L	Amol		Amol
aly			I	Active	L	Alyawarr		Alyawarr
alz			I	Active	L	Alur		Alur
ama			I	Active	E	Amanayé		Amanayé
amb			I	Active	L	Ambo		Ambo
amc			I	Active	L	Amahuaca		Amahuaca
amd			I	Retired	L	Creole, Amapá	Creole, Amapá	Amapá Creole
ame			I	Active	L	Yanesha'		Yanesha'
amf			I	Active	L	Hamer-Banna		Hamer-Banna
amg			I	Active	L	Amurdak		Amurdak
amh	am	amh	I	Active	L	Amharic		Amharic
ami			I	Active	L	Amis		Amis
amj			I	Active	L	Amdang		Amdang
amk			I	Active	L	Ambai		Ambai
aml			I	Active	L	War-Jaintia		War-Jaintia
amm			I	Active	L	Ama (Papua New Guinea)		Ama (Papua New Guinea)
amn			I	Active	L	Amanab		Amanab
amo			I	Active	L	Amo		Amo
amp			I	Active	L	Alamblak		Alamblak
amq			I	Active	L	Amahai		Amahai
amr			I	Active	L	Amarakaeri		Amarakaeri
ams			I	Active	L	Amami-Oshima, Southern	Amami-Oshima, Southern	Southern Amami-Oshima
amt			I	Active	L	Amto		Amto
amu			I	Active	L	Amuzgo, Guerrero	Amuzgo, Guerrero	Guerrero Amuzgo
amv			I	Active	L	Ambelau		Ambelau
amw			I	Active	L	Neo-Aramaic, Western	Neo-Aramaic, Western	Western Neo-Aramaic
amx			I	Active	L	Anmatyerre		Anmatyerre
amy			I	Active	L	Ami		Ami
amz			I	Active	E	Atampaya		Atampaya
ana			I	Active	E	Andaqui		Andaqui
anb			I	Active	E	Andoa		Andoa
anc			I	Active	L	Ngas		Ngas
and			I	Active	L	Ansus		Ansus
ane			I	Active	L	Xârâcùù		Xârâcùù
anf			I	Active	L	Animere		Animere
ang		ang	I	Active	H	English, Old (ca. 450-1100)	English, Old (ca. 450-1100)	Old English (ca. 450-1100)
anh			I	Active	L	Nend		Nend
ani			I	Active	L	Andi		Andi
anj			I	Active	L	Anor		Anor
ank			I	Active	L	Goemai		Goemai
anl			I	Active	L	Chin, Anu-Hkongso	Chin, Anu-Hkongso	Anu-Hkongso Chin
anm			I	Active	L	Anal		Anal
ann			I	Active	L	Obolo		Obolo
ano			I	Active	L	Andoque		Andoque
anp		anp	I	Active	L	Angika		Angika
anq			I	Active	L	Jarawa (India)		Jarawa (India)
anr			I	Active	L	Andh		Andh
ans			I	Active	E	Anserma		Anserma
ant			I	Active	L	Antakarinya		Antakarinya
anu			I	Active	L	Anuak		Anuak
anv			I	Active	L	Denya		Denya
anw			I	Active	L	Anaang		Anaang
anx			I	Active	L	Andra-Hus		Andra-Hus
any			I	Active	L	Anyin		Anyin
anz			I	Active	L	Anem		Anem
aoa			I	Active	L	Angolar		Angolar
aob			I	Active	L	Abom		Abom
aoc			I	Active	L	Pemon		Pemon
aod			I	Active	L	Andarum		Andarum
aoe			I	Active	L	Angal Enen		Angal Enen
aof			I	Active	L	Bragat		Bragat
aog			I	Active	L	Angoram		Angoram
aoh			I	Active	E	Arma		Arma
aoi			I	Active	L	Anindilyakwa		Anindilyakwa
aoj			I	Active	L	Mufian		Mufian
aok			I	Active	L	Arhö		Arhö
aol			I	Active	L	Alor		Alor
aom			I	Active	L	Ömie		Ömie
aon			I	Active	L	Arapesh, Bumbita	Arapesh, Bumbita	Bumbita Arapesh
aor			I	Active	E	Aore		Aore
aos			I	Active	L	Taikat		Taikat
aot			I	Active	L	A'tong		A'tong
aou			I	Active	L	A'ou		A'ou
aox			I	Active	L	Atorada		Atorada
aoz			I	Active	L	Uab Meto		Uab Meto
apa		apa	C	Active	Genetic	Apache languages		Apache languages
apb			I	Active	L	Sa'a		Sa'a
apc			I	Active	L	Arabic, North Levantine	Arabic, North Levantine	North Levantine Arabic
