Code	Status	Partner_Agency	639_3	639_2	B_Code	bt_equiv	639_1	Reference_Name	Element_Scope	Language_Type	Documentation
aka	A	JAC	aka	aka			ak	Akan	M	L	SIL
akb	A	SIL	akb					Batak Angkola	I	L	SIL
akc	A	SIL	akc					Mpur	I	L	SIL
akd	A	SIL	akd					Ukpet-Ehom	I	L	SIL
ake	A	SIL	ake					Akawaio	I	L	SIL
akf	A	SIL	akf					Akpa	I	L	SIL
akg	A	SIL	akg					Anakalangu	I	L	SIL
akh	A	SIL	akh					Angal Heneng	I	L	SIL
aki	A	SIL	aki					Aiome	I	L	SIL
akj	A	SIL	akj					Aka-Jeru	I	E	SIL
akk	A	JAC	akk	akk				Akkadian	I	A	LL
akl	A	SIL	akl					Aklanon	I	L	SIL
akm	A	SIL	akm					Aka-Bo	I	E	SIL
akn	R	SIL	akn					Amikoana	I	L	
ako	A	SIL	ako					Akurio	I	L	SIL
akp	A	SIL	akp					Siwu	I	L	SIL
akq	A	SIL	akq					Ak	I	L	SIL
akr	A	SIL	akr					Araki	I	L	SIL
aks	A	SIL	aks					Akaselem	I	L	SIL
akt	A	SIL	akt					Akolet	I	L	SIL
aku	A	SIL	aku					Akum	I	L	SIL
akv	A	SIL	akv					Akhvakh	I	L	SIL
akw	A	SIL	akw					Akwa	I	L	SIL
akx	A	SIL	akx					Aka-Kede	I	E	SIL
aky	A	SIL	aky					Aka-Kol	I	E	SIL
akz	A	SIL	akz					Alabama	I	L	SIL
ala	A	SIL	ala					Alago	I	L	SIL
alb	A	JACB		alb		sqi	sq	Albanian	M	L	
alc	A	SIL	alc					Qawasqar	I	L	SIL
ald	A	SIL	ald					Alladian	I	L	SIL
ale	A	JAC	ale	ale				Aleut	I	L	SIL
alf	A	SIL	alf					Alege	I	L	SIL
alg	A	JAC		alg				Algonquian languages	C	Genetic	
alh	A	SIL	alh					Alawa	I	L	SIL
ali	A	SIL	ali					Amaimon	I	L	SIL
alj	A	SIL	alj					Alangan	I	L	SIL
alk	A	SIL	alk					Alak	I	L	SIL
all	A	SIL	all					Allar	I	L	SIL
alm	A	SIL	alm					Amblong	I	L	SIL
aln	A	SIL	aln					Gheg Albanian	I	L	SIL
alo	A	SIL	alo					Larike-Wakasihu	I	L	SIL
alp	A	SIL	alp					Alune	I	L	SIL
alq	A	SIL	alq					Algonquin	I	L	SIL
alr	A	SIL	alr					Alutor	I	L	SIL
als	A	SIL	als					Tosk Albanian	I	L	SIL
alt	A	JAC	alt	alt				Southern Altai	I	L	SIL
alu	A	SIL	alu					'Are'are	I	L	SIL
alv	A	JAC5		alv				Atlantic-Congo languages	C	Genetic	
alw	A	SIL	alw					Alaba-K’abeena	I	L	SIL
alx	A	SIL	alx					Amol	I	L	SIL
aly	A	SIL	aly					Alyawarr	I	L	SIL
alz	A	SIL	alz					Alur	I	L	SIL
ama	A	SIL	ama					Amanayé	I	E	SIL
amb	A	SIL	amb					Ambo	I	L	SIL
amc	A	SIL	amc					Amahuaca	I	L	SIL
amd	R	SIL	amd					Amapá Creole	I	L	
ame	A	SIL	ame					Yanesha'	I	L	SIL
amf	A	SIL	amf					Hamer-Banna	I	L	SIL
amg	A	SIL	amg					Amurdak	I	L	SIL
amh	A	JAC	amh	amh			am	Amharic	I	L	SIL
ami	A	SIL	ami					Amis	I	L	SIL
amj	A	SIL	amj					Amdang	I	L	SIL
amk	A	SIL	amk					Ambai	I	L	SIL
aml	A	SIL	aml					War-Jaintia	I	L	SIL
amm	A	SIL	amm					Ama (Papua New Guinea)	I	L	SIL
amn	A	SIL	amn					Amanab	I	L	SIL
amo	A	SIL	amo					Amo	I	L	SIL
amp	A	SIL	amp					Alamblak	I	L	SIL
amq	A	SIL	amq					Amahai	I	L	SIL
amr	A	SIL	amr					Amarakaeri	I	L	SIL
ams	A	SIL	ams					Southern Amami-Oshima	I	L	SIL
amt	A	SIL	amt					Amto	I	L	SIL
amu	A	SIL	amu					Guerrero Amuzgo	I	L	SIL
amv	A	SIL	amv					Ambelau	I	L	SIL
