Primary Census Statistical Area                                	2011 Estimate	2010 Census	Type	Rank	Change	Core Based Statistical Areas
Chicago-Naperville-Michigan City, IL-IN-WI                 	      9729825	    9686021	CSA	   3	+0.45%	Chicago-Naperville-Joliet, IL-IN-WI MSA | Kankakee-Bradley, IL MSA | Michigan City-La Porte, IN MSA
Chico, CA                                                  	       220266	     220000	MSA	 176	+0.12%
Cincinnati-Middletown-Wilmington, OH-KY-IN                 	      2179965	    2172191	CSA	  27	+0.36%	Cincinnati-Middletown, OH-KY-IN MSA | Wilmington, OH µSA
Claremont-Lebanon, NH-VT                                   	       218057	     218466	CSA	 177	-0.19%	Lebanon, NH-VT µSA | Claremont, NH µSA
Clarksdale, MS                                             	        25913	      26151	µSA	 656	-0.91%
Clarksville, TN-KY                                         	       277701	     273949	MSA	 151	+1.37%
Clearlake, CA                                              	        64323	      64665	µSA	 412	-0.53%
Cleveland, MS                                              	        33771	      34145	µSA	 599	-1.10%
Cleveland-Akron-Elyria, OH                                 	      2871084	    2881937	CSA	  19	-0.38%	Cleveland-Elyria-Mentor, OH MSA | Akron, OH MSA | Ashtabula, OH µSA
Clewiston, FL                                              	        39089	      39140	µSA	 548	-0.13%
Clinton, IA                                                	        49015	      49116	µSA	 476	-0.21%
Clovis-Portales, NM                                        	        70095	      68222	CSA	 390	+2.75%	Clovis, NM µSA | Portales, NM µSA
Coeur d'Alene, ID                                          	       141132	     138494	MSA	 258	+1.90%
Coffeyville, KS                                            	        34911	      35471	µSA	 589	-1.58%
Coldwater, MI                                              	        45197	      45248	µSA	 506	-0.11%
College Station-Bryan, TX                                  	       231623	     228660	MSA	 174	+1.30%
Colorado Springs, CO                                       	       660319	     645613	MSA	  78	+2.28%
Columbia, MO                                               	       175831	     172786	MSA	 212	+1.76%
Columbia-Newberry, SC                                      	       814837	     805106	CSA	  66	+1.21%	Columbia, SC MSA | Newberry, SC µSA
Columbus, NE                                               	        32593	      32237	µSA	 607	+1.10%
Columbus-Auburn-Opelika, GA-AL                             	       466089	     456564	CSA	 104	+2.09%	Columbus, GA-AL MSA | Auburn-Opelika, AL MSA | Tuskegee, AL µSA
Columbus-Marion-Chillicothe, OH                            	      2093185	    2071052	CSA	  30	+1.07%	Columbus, OH MSA | Chillicothe, OH µSA | Marion, OH µSA | Mount Vernon, OH µSA | Washington Court House, OH µSA
Columbus-West Point, MS                                    	        80127	      80413	CSA	 364	-0.36%	Columbus, MS µSA | West Point, MS µSA
Connersville, IN                                           	        24285	      24277	µSA	 672	+0.03%
Cookeville, TN                                             	       106498	     106042	µSA	 313	+0.43%
Coos Bay, OR                                               	        62791	      63043	µSA	 418	-0.40%
Corbin-London, KY                                          	        95178	      94486	CSA	 330	+0.73%	London, KY µSA | Corbin, KY µSA
Cordele, GA                                                	        23710	      23439	µSA	 673	+1.16%
Corinth, MS                                                	        37052	      37057	µSA	 573	-0.01%
Cornelia, GA                                               	        43279	      43041	µSA	 515	+0.55%
Corning, NY                                                	        99033	      98990	µSA	 323	+0.04%
Corpus Christi-Kingsville, TX                              	       464014	     460662	CSA	 105	+0.73%	Corpus Christi, TX MSA | Kingsville, TX µSA
Corsicana, TX                                              	        48054	      47735	µSA	 480	+0.67%
Coshocton, OH                                              	        36955	      36901	µSA	 575	+0.15%
Crescent City, CA                                          	        28659	      28610	µSA	 639	+0.17%
Crestview-Fort Walton Beach-Destin, FL                     	       183482	     180822	MSA	 202	+1.47%
Crossville, TN                                             	        56632	      56053	µSA	 438	+1.03%
Cumberland, MD-WV                                          	       102884	     103299	MSA	 317	-0.40%
Dallas-Fort Worth, TX                                      	      6887383	    6731317	CSA	   7	+2.32%	Dallas-Fort Worth-Arlington, TX MSA | Sherman-Denison, TX MSA | Athens, TX µSA | Granbury, TX µSA | Gainesville, TX µSA | Bonham, TX µSA | Mineral Wells, TX µSA
Dalton, GA                                                 	       142741	     142227	MSA	 255	+0.36%
Danville, IL                                               	        81509	      81625	MSA	 360	-0.14%
Danville, KY                                               	        53281	      53174	µSA	 454	+0.20%
Danville, VA                                               	       105696	     106561	MSA	 314	-0.81%
Davenport-Moline-Rock Island, IA-IL                        	       381342	     379690	MSA	 126	+0.44%
Dayton-Springfield-Greenville, OH                          	      1075683	    1072891	CSA	  53	+0.26%	Dayton, OH MSA | Springfield, OH MSA | Greenville, OH µSA | Urbana, OH µSA
Decatur, IL                                                	       110730	     110768	MSA	 305	-0.03%
Defiance, OH                                               	        38884	      39037	µSA	 552	-0.39%
Del Rio, TX                                                	        49106	      48879	µSA	 475	+0.46%
Deming, NM                                                 	        25281	      25095	µSA	 663	+0.74%
Denver-Aurora-Boulder, CO                                  	      3157520	    3090874	CSA	  16	+2.16%	Denver-Aurora-Broomfield, CO MSA | Boulder, CO MSA | Greeley, CO MSA
Des Moines-Newton-Pella, IA                                	       650137	     639784	CSA	  79	+1.62%	Des Moines-West Des Moines, IA MSA | Newton, IA µSA | Pella, IA µSA
Detroit-Warren-Flint, MI                                   	      5207434	    5218852	CSA	  12	-0.22%	Detroit-Warren-Livonia, MI MSA | Flint, MI MSA | Ann Arbor, MI MSA | Monroe, MI MSA
Dickinson, ND                                              	        25993	      24982	µSA	 653	+4.05%
Dillon, SC                                                 	        31758	      32062	µSA	 616	-0.95%
Dixon, IL                                                  	        35467	      36031	µSA	 585	-1.57%
Dodge City, KS                                             	        34568	      33848	µSA	 593	+2.13%
Dothan-Enterprise-Ozark, AL                                	       247132	     245838	CSA	 166	+0.53%	Dothan, AL MSA | Enterprise-Ozark, AL µSA
Douglas, GA                                                	        51277	      50731	µSA	 467	+1.08%
Dover, DE                                                  	       164834	     162310	MSA	 223	+1.56%
DuBois, PA                                                 	        81445	      81642	µSA	 362	-0.24%
Dublin, GA                                                 	        57924	      58414	µSA	 435	-0.84%
Dubuque, IA                                                	        94648	      93653	MSA	 331	+1.06%
Duluth, MN-WI                                              	       279815	     279771	MSA	 150	+0.02%
Dumas, TX                                                  	        21954	      21904	µSA	 688	+0.23%
Duncan, OK                                                 	        45197	      45048	µSA	 506	+0.33%
Durango, CO                                                	        51917	      51334	µSA	 461	+1.14%
Durant, OK                                                 	        43089	      42416	µSA	 517	+1.59%
Dyersburg, TN                                              	        38192	      38335	µSA	 559	-0.37%
Eagle Pass, TX                                             	        55405	      54258	µSA	 442	+2.11%
East Stroudsburg, PA                                       	       169882	     169842	µSA	 216	+0.02%
Easton, MD                                                 	        38025	      37782	µSA	 561	+0.64%
Eau Claire-Menomonie, WI                                   	       206628	     205008	CSA	 184	+0.79%	Eau Claire, WI MSA | Menomonie, WI µSA
Edwards, CO                                                	        59281	      59507	µSA	 430	-0.38%
Effingham, IL                                              	        34280	      34242	µSA	 596	+0.11%
El Campo, TX                                               	        41314	      41280	µSA	 532	+0.08%
El Centro, CA                                              	       177057	     174528	MSA	 209	+1.45%
El Dorado, AR                                              	        41427	      41639	µSA	 530	-0.51%
El Paso, TX                                                	       820790	     800647	MSA	  65	+2.52%
Elizabeth City, NC                                         	        64197	      64094	µSA	 413	+0.16%
Elk City, OK                                               	        22288	      22119	µSA	 685	+0.76%
Elko, NV                                                   	        51470	      50805	µSA	 464	+1.31%
Ellensburg, WA                                             	        41629	      40915	µSA	 526	+1.75%
Elmira, NY                                                 	        88840	      88830	MSA	 343	+0.01%
Emporia, KS                                                	        36581	      36480	µSA	 579	+0.28%
Enid, OK                                                   	        60670	      60580	µSA	 425	+0.15%
Erie, PA                                                   	       280985	     280566	MSA	 148	+0.15%
Escanaba, MI                                               	        37105	      37069	µSA	 571	+0.10%
Eufaula, AL-GA                                             	        29583	      29970	µSA	 629	-1.29%
Eugene-Springfield, OR                                     	       353416	     351715	MSA	 132	+0.48%
Eureka-Arcata-Fortuna, CA                                  	       134761	     134623	µSA	 266	+0.10%
Evanston, WY                                               	        20985	      21118	µSA	 696	-0.63%
