fips	state	City Name                                      	Type	CBSA Parent
f18388	36   	Cortland, NY                               	Cit  	18660
f15800	41   	Corvallis, OR                              	Cit  	18700
f18868	39   	Coshocton, OH                              	Cit  	18740
f15742	18   	Crawfordsville, IN                         	Cit  	18820
f17022	06   	Crescent City, CA                          	Cit  	18860
f15475	12   	Crestview, FL                              	Cit  	18880
f24475	12   	Fort Walton Beach, FL                      	Cit  	18880
f17325	12   	Destin, FL                                 	Cit  	18880
f18540	47   	Crossville, TN                             	Cit  	18900
f18650	22   	Crowley, LA                                	Cit  	18940
f18976	01   	Cullman, AL                                	Cit  	18980
f20752	51   	Culpeper, VA                               	Cit  	19020
f21325	24   	Cumberland, MD                             	Cit  	19060
f19000	48   	Dallas, TX                                 	Cit  	19100
f27000	48   	Fort Worth, TX                             	Cit  	19100
f04000	48   	Arlington, TX                              	Cit  	19100
f58016	48   	Plano, TX                                  	Cit  	19100
f37000	48   	Irving, TX                                 	Cit  	19100
f13024	48   	Carrollton, TX                             	Cit  	19100
f19972	48   	Denton, TX                                 	Cit  	19100
f45744	48   	McKinney, TX                               	Cit  	19100
f61796	48   	Richardson, TX                             	Cit  	19100
f21380	13   	Dalton, GA                                 	Cit  	19140
f18563	17   	Danville, IL                               	Cit  	19180
f19882	21   	Danville, KY                               	Cit  	19220
f21344	51   	Danville, VA                               	Cit  	19260
f19648	01   	Daphne, AL                                 	Cit  	19300
f25240	01   	Fairhope, AL                               	Cit  	19300
f26992	01   	Foley, AL                                  	Cit  	19300
f32272	01   	Gulf Shores, AL                            	Cit  	19300
f19000	19   	Davenport, IA                              	Cit  	19340
f49867	17   	Moline, IL                                 	Cit  	19340
f65078	17   	Rock Island, IL                            	Cit  	19340
f21000	39   	Dayton, OH                                 	Cit  	19380
f20104	01   	Decatur, AL                                	Cit  	19460
f18823	17   	Decatur, IL                                	Cit  	19500
f17074	18   	Decatur, IN                                	Cit  	19540
f21308	39   	Defiance, OH                               	Cit  	19580
f19792	48   	Del Rio, TX                                	Cit  	19620
f17200	12   	Deltona, FL                                	Cit  	19660
f16525	12   	Daytona Beach, FL                          	Cit  	19660
f53150	12   	Ormond Beach, FL                           	Cit  	19660
f20270	35   	Deming, NM                                 	Cit  	19700
f20000	08   	Denver, CO                                 	Cit  	19740
f04000	08   	Aurora, CO                                 	Cit  	19740
f09280	08   	Broomfield, CO                             	Cit  	19740
f20610	22   	DeRidder, LA                               	Cit  	19760
f21000	19   	Des Moines, IA                             	Cit  	19780
f83910	19   	West Des Moines, IA                        	Cit  	19780
f22000	26   	Detroit, MI                                	Cit  	19820
f84000	26   	Warren, MI                                 	Cit  	19820
f49000	26   	Livonia, MI                                	Cit  	19820
f21000	26   	Dearborn, MI                               	Cit  	19820
f80700	26   	Troy, MI                                   	Cit  	19820
f27440	26   	Farmington Hills, MI                       	Cit  	19820
f74900	26   	Southfield, MI                             	Cit  	19820
f65440	26   	Pontiac, MI                                	Cit  	19820
f79000	26   	Taylor, MI                                 	Cit  	19820
f59440	26   	Novi, MI                                   	Cit  	19820
f19620	38   	Dickinson, ND                              	Cit  	19860
f19420	45   	Dillon, SC                                 	Cit  	19900
f20162	17   	Dixon, IL                                  	Cit  	19940
f18250	20   	Dodge City, KS                             	Cit  	19980
f21184	01   	Dothan, AL                                 	Cit  	20020
f23872	13   	Douglas, GA                                	Cit  	20060
f21200	10   	Dover, DE                                  	Cit  	20100
f24376	13   	Dublin, GA                                 	Cit  	20140
f20136	42   	DuBois, PA                                 	Cit  	20180
f22395	19   	Dubuque, IA                                	Cit  	20220
f17000	27   	Duluth, MN                                 	Cit  	20260
f21556	48   	Dumas, TX                                  	Cit  	20300
f21900	40   	Duncan, OK                                 	Cit  	20340
f18320	37   	Dunn, NC                                   	Cit  	20380
f22035	08   	Durango, CO                                	Cit  	20420
f22050	40   	Durant, OK                                 	Cit  	20460
f19000	37   	Durham, NC                                 	Cit  	20500
f11800	37   	Chapel Hill, NC                            	Cit  	20500
f22200	47   	Dyersburg, TN                              	Cit  	20540
f21892	48   	Eagle Pass, TX                             	Cit  	20580
f23730	39   	East Liverpool, OH                         	Cit  	20620
f69834	39   	Salem, OH                                  	Cit  	20620
f24475	24   	Easton, MD                                 	Cit  	20660
f20700      East Stroudsburg, PA                                                  42   21872
f22300	55   	Eau Claire, WI                             	Cit  	20740
f23300	08   	Edwards, CO                                	Cit  	20780
f22736	17   	Effingham, IL                              	Cit  	20820
f22864	48   	El Campo, TX                               	Cit  	20900
f21782	06   	El Centro, CA                              	Cit  	20940
f21070	05   	El Dorado, AR                              	Cit  	20980
f20580	37   	Elizabeth City, NC                         	Cit  	21020
f24274	21   	Elizabethtown, KY                          	Cit  	21060
f23500	40   	Elk City, OK                               	Cit  	21120
f20728	18   	Elkhart, IN                                	Cit  	21140
f28386	18   	Goshen, IN                                 	Cit  	21140
f22500	32   	Elko, NV                                   	Cit  	21220
f21240	53   	Ellensburg, WA                             	Cit  	21260
