SFO01	Seals Stadium	San Francisco, CA	04/15/1958	09/20/1959	154	37.77	-122.41	61
NYC19	Washington Park IV	Brooklyn, NY	05/11/1914	09/30/1915	154	40.67	-73.99	26
KAN04	Gordon and Koppel Field	Kansas City, MO	04/16/1914	09/28/1915	151	39.04	-94.57	805
SAI01	St. George Cricket Grounds	New York, NY	04/22/1886	06/14/1889	148	40.65	-74.08	5
DEN01	Mile High Stadium	Denver, CO	04/09/1993	08/11/1994	138	39.75	-105.02	5211
PHI07	Forepaugh Park	Philadelphia, PA	04/30/1890	10/05/1891	137	39.99	-75.15	77
IND05	Seventh Street Park III	Indianapolis, IN	04/20/1888	10/05/1889	135	39.79	-86.16	715
CIN02	Avenue Grounds	Cincinnati, OH	04/25/1876	08/27/1879	132	39.14	-84.55	480
BAL09	Oriole Park IV	Baltimore, MD	04/26/1901	09/29/1902	130	39.32	-76.61	202
CHI02	23rd Street Park	Chicago, IL	05/29/1872	10/06/1877	129	41.85	-87.63	599
WOR01	Agricultural County Fair Grounds I	Worcester, MA	05/01/1880	09/29/1882	126	42.27	-71.81	496
NYC08	Washington Park II	Brooklyn, NY	05/30/1889	10/03/1890	123	40.67	-73.99	30
KAN02	Association Park	Kansas City, MO	04/30/1886	09/29/1888	114	39.11	-94.56	907
NYC09	Polo Grounds III	New York, NY	07/08/1889	09/13/1890	112	40.83	-73.94	18
BAL02	Newington Park	Baltimore, MD	04/22/1872	09/30/1882	112	39.31	-76.64	195
BUF02	Olympic Park I	Buffalo, NY	05/21/1884	10/07/1885	108	42.91	-78.88	632
TRO01	Haymakers' Grounds	Troy, NY	05/09/1871	09/30/1881	106	42.76	-73.68	32
CHI04	Lake Front Park III	Chicago, IL	05/05/1883	10/11/1884	106	41.88	-87.62	585
BAL06	Oriole Park II	Baltimore, MD	04/18/1889	05/09/1891	103	39.32	-76.61	194
COL01	Recreation Park I	Columbus, OH	05/01/1883	09/22/1884	102	39.96	-82.98	788
HRT01	Hartford Ball Club Grounds	Hartford, CT	05/01/1874	09/16/1876	100	41.76	-72.67	30
STL02	Grand Avenue Park	St. Louis, MO	05/06/1875	07/13/1878	97	38.66	-90.22	492
SEA01	Sicks' Stadium	Seattle, WA	04/11/1969	10/02/1969	82	47.58	-122.30	61
LOS02	Wrigley Field	Los Angeles, CA	04/27/1961	10/01/1961	82	34.01	-118.27	188
IND07	Federal League Park	Indianapolis, IN	04/23/1914	10/08/1914	80	39.76	-86.17	697
HAR01	Harrison Field	Harrison, NJ	04/16/1915	10/03/1915	79	40.74	-74.16	9
NYC18	Wallace's Ridgewood Park	Queens, NY	04/24/1887	06/08/1890	77	40.69	-73.91	71
KAN03	Exposition Park	Kansas City, MO	09/30/1888	10/15/1892	74	39.09	-94.55	890
MIL04	Lloyd Street Grounds	Milwaukee, WI	05/03/1901	09/12/1901	70	43.06	-87.93	677
PIT02	Exposition Park I	Pittsburgh, PA	05/10/1882	09/06/1883	69	40.45	-80.01	729
TOL03	Speranza Park	Toledo, OH	05/01/1890	10/02/1890	68	41.67	-83.54	609
WAS03	Capitol Grounds	Washington, DC	04/18/1884	09/25/1884	65	38.89	-77.01	74
BUF03	Olympic Park II	Buffalo, NY	04/19/1890	10/04/1890	65	42.91	-78.86	630
IND04	Seventh Street Park II	Indianapolis, IN	04/28/1887	10/08/1887	64	39.79	-86.16	715
