PACE	CEM	CEM	Central Airport	Central	GA                     20
PACI	CIK	CIK	Chalkyitsik Airport	Chalkyitsik	GA                    777
		5CD	Chandalar Shelf Airport	Chandalar Camp	GA
PALR	WCR	WCR	Chandalar Lake Airport	Chandalar Lake	GA                     42
PFCB	NCN	C05	Chenega Bay Airport	Chenega	GA
	CKX	CKX	Chicken Airport	Chicken	GA                      7
PAJC		AJC	Chignik Airport	Chignik	GA                    854
	KCL	KCL	Chignik Lagoon Airport	Chignik Flats	GA                    648
	KCQ	A79	Chignik Lake Airport	Chignik Lake	GA                     35
	CZN	CZN	Chisana Airport	Chisana	GA                     44
	CXC	CXC	Chitina Airport	Chitina	GA
PACH	CHU	9A3	Chuathbaluk Airport	Chuathbaluk	GA                    530
PACR	IRC	CRC	Circle City Airport	Circle	GA                    355
	CHP	CHP	Circle Hot Springs Airport	Circle Hot Springs	GA                     55
PFCL	CLP	CLP	Clarks Point Airport	Clarks Point	GA                    454
PACL		Z84	Clear Airport / Clear Air Force Station	Clear	GA                     50
	KCC	KCC	Coffman Cove Seaplane Base	Coffman Cove	GA                     74
PACX	CXF	CXF	Coldfoot Airport	Coldfoot	GA                    212
	CKU	CKU	Cordova Municipal Airport	Cordova	GA
	CIL	K29	Council Airport	Council	GA
	CKD	CJX	Crooked Creek Airport	Crooked Creek	GA                    549
	DCK	DCK	Dahl Creek Airport	Dahl Creek	GA                     51
PADE	DRG	DEE	Deering Airport	Deering	GA                   1291
		DM2	Diomede Heliport	Diomede	GA                    272
PAEG	EAA	EAA	Eagle Airport	Eagle	GA                    734
PAII	EGX	EII	Egegik Airport	Egegik	GA                   1305
	KEK	KEK	Ekwok Airport	Ekwok	GA                    284
PAEL	ELV	ELV	Elfin Cove Seaplane Base	Elfin Cove	GA                    305
PFEL	ELI	ELI	Elim Airport	Elim	GA                   2376
	EXI	EXI	Excursion Inlet Seaplane Base	Excursion Inlet	GA                     30
PAKF	KFP	KFP	False Pass Airport	False Pass	GA                    321
	FLT	FLT	Flat Airport	Flat	GA                      5
PANR	FNR	FNR	Funter Bay Seaplane Base	Funter Bay	GA                     11
PAGB	GBH	GBH	Galbraith Lake Airport	Galbraith Lake	GA                    878
		AQY	Girdwood Airport	Girdwood	GA
PAGL	GLV	GLV	Golovin Airport	Golovin	GA                   1753
	GNU	GNU	Goodnews Airport	Goodnews Bay	GA                   1649
		Z40	Goose Bay Airport	Goose Bay	GA
	KGX	KGX	Grayling Airport	Grayling	GA                   1005
PAGK	GKN	GKN	Gulkana Airport	Gulkana	GA                    141
		3Z9	Haines Seaplane Base	Haines	GA
PAHV		HRR	Healy River Airport	Healy	GA                      8
	HYL	HYL	Hollis Seaplane Base	Hollis	GA                   1965
PAHC	HCR	HCA	Holy Cross Airport	Holy Cross	GA                   1155
		OOH	Hoonah Seaplane Base	Hoonah	GA
		5HO	Hope Airport	Hope	GA
PAHU	HUS	HUS	Hughes Airport	Hughes	GA                   1225
PAHY	HYG	HYG	Hydaburg Seaplane Base	Hydaburg	GA                     38
	WHD	4Z7	Hyder Seaplane Base	Hyder	GA                    101
PAIG	IGG	IGG	Igiugig Airport	Igiugig	GA                    594
	KIB	KIB	Ivanof Bay Seaplane Base	Ivanof Bay	GA
		5Z1	Juneau Harbor Seaplane Base	Juneau	GA
PAFE		AFE	Kake Airport (also see Kake Seaplane Base)	Kake	GA
	KAE	KAE	Kake Seaplane Base	Kake	GA                   1440
PAKV	KAL	KAL	Kaltag Airport	Kaltag	GA                   2325
		5Z5	Kantishna Airport	Kantishna	GA
PAKY	KYK	KYK	Karluk Airport	Karluk	GA                    397
	KXA	KXA	Kasaan Seaplane Base	Kasaan	GA                    125
		8K9	Murphys Pullout Seaplane Base	Ketchikan	GA
	KKB	KKB	Kitoi Bay Seaplane Base	Kitoi Bay	GA                     28
PAKW	KLW	AKW	Klawock Airport (also see Klawock Seaplane Base)	Klawock	GA                     15
PAQC		AQC	Klawock Seaplane Base	Klawock	GA
PAOB	OBU	OBU	Kobuk Airport	Kobuk	GA                   1255
PAKD	KDK	KDK	Kodiak Municipal Airport	Kodiak	GA
		T44	Trident Basin Seaplane Base	Kodiak	GA [nb 10]           4330
PFKK	KNK	9K2	Kokhanok Airport	Kokhanok	GA                    887
PAJZ	KGK	JZZ	Koliganek Airport	Koliganek	GA                    572
PAKK	KKA	KKA	Koyuk Alfred Adams Airport	Koyuk	GA [nb 11]           2366
PFKU	KYU	KYU	Koyukuk Airport	Koyukuk	GA                   1254
		Z55	Lake Louise Airport (also see Lake Louise Seaplane Base)	Lake Louise	GA                      1
PAMH		MHM	Minchumina Airport (Lake Minchumina Airport)	Lake Minchumina	GA                    124
	KLL	9Z8	Levelock Airport	Levelock	GA                    447
	LVD	2AK	Lime Village Airport	Lime Village	GA                     13
PAML	MLY	MLY	Manley Hot Springs Airport	Manley Hot Springs	GA                     41
	MYK	MYK	May Creek Airport	May Creek	GA                      8
PAMX	MXY	15Z	McCarthy Airport	McCarthy	GA                     54
PAMY	MYU	MYU	Mekoryuk Airport	Mekoryuk	GA                   1529
	WMK	84K	Meyers Chuck Seaplane Base	Meyers Chuck	GA                    161
	MNT	51Z	Minto Al Wright Airport (was Minto Airport)	Minto	GA                    294
	NNK	5NK	Naknek Airport	Naknek	GA                    275
PANA	WNA	WNA	Napakiak Airport	Napakiak	GA                   1891
PAPK	PKA	PKA	Napaskiak Airport	Napaskiak	GA                   1868
PAOU	NLG	OUL	Nelson Lagoon Airport	Nelson Lagoon	GA                    449
PANN	ENN	ENN	Nenana Municipal Airport	Nenana	GA                     79
PANW	KNW	KNW	New Stuyahok Airport	New Stuyahok	GA                    838
PAGT	NME	IGT	Nightmute Airport	Nightmute	GA                   2074
PAFS	NIB	FSP	Nikolai Airport	Nikolai	GA                    367
PANO	NNL	5NN	Nondalton Airport	Nondalton	GA                   1202
	WWP	96Z	North Whale Seaplane Base	North Whale Pass	GA                     99
PAOR	ORT	ORT	Northway Airport	Northway	GA                     55
	SXP	SXP	Sheldon Point Airport	Nunam Iqua (Sheldon Pt.)	GA                   1351
		Z17	Ophir Airport	Ophir	GA
PAAQ	PAQ	PAQ	Palmer Municipal Airport	Palmer	GA                    374
	PDB	4K0	Pedro Bay Airport	Pedro Bay	GA                    541
	PEC	PEC	Pelican Seaplane Base	Pelican	GA                    652
PAPE	KPV	PEV	Perryville Airport	Perryville	GA                    667
		63A	Lloyd R. Roundtree Seaplane Facility	Petersburg	GA
PAPN	PIP	PNP	Pilot Point Airport	Pilot Point	GA                    834
PAPM	PTU	PTU	Platinum Airport	Platinum	GA                   1354
	KPB	KPB	Point Baker Seaplane Base	Point Baker	GA                     23
PPIZ	PIZ	PIZ	Point Lay LRRS Airport (DEW Station)	Point Lay	GA                   1720
PAAP	PTD	AHP	Port Alexander Seaplane Base	Port Alexander	GA                    146
PAPH	PTH	PTH	Port Heiden Airport	Port Heiden	GA                   1037
	ORI	ORI	Port Lions Airport	Port Lions	GA                   2257
	PPV	19P	Port Protection Seaplane Base	Port Protection	GA                     84
PAOC	PCA	A14	Portage Creek Airport	Portage Creek	GA                     16
PAPR	PPC	PPC	Prospect Creek Airport	Prospect Creek	GA                    639
	RMP	RMP	Rampart Airport	Rampart	GA                    224
	RDV	RDV	Red Devil Airport	Red Devil	GA                    136
PARY	RBY	RBY	Ruby Airport	Ruby	GA                   1809
PAMK	SMK	SMK	St. Michael Airport	St. Michael	GA [nb 12]           2297
PAWD	SWD	SWD	Seward Airport	Seward	GA                      8
PAHX	SHX	SHX	Shageluk Airport	Shageluk	GA                    739
PFSH	SKK	2C7	Shaktoolik Airport	Shaktoolik	GA                   2146
PAGH	SHG	SHG	Shungnak Airport	Shungnak	GA [nb 13]           2238
		A29	Sitka Seaplane Base	Sitka	GA                     41
		7K2	Skagway Seaplane Base	Skagway	GA
PASW	SKW	SKW	Skwentna Airport	Skwentna	GA                     92
PASL	SLQ	SLQ	Sleetmute Airport	Sleetmute	GA                    386
PASX	SXQ	SXQ	Soldotna Airport	Soldotna	GA                     23
PFWS	WSN	WSN	South Naknek Airport	South Naknek	GA                    190
PAPB	STG	PBV	St. George Airport	St. George	GA                    643
	SVS	SVS	Stevens Village Airport	Stevens Village	GA                   1228
	SRV	SRV	Stony River Airport	Stony River	GA                    217
	TCT	TCT	Takotna Airport	Takotna	GA                    190
PATK	TKA	TKA	Talkeetna Airport	Talkeetna	GA                      2
PAKA	TEK	7KA	Tatitlek Airport	Tatitlek	GA                      8
	TLF	2K5	Telida Airport	Telida	GA
PATE	TLA	TER	Teller Airport	Teller	GA                   1254
	TKE	TKE	Tenakee Seaplane Base	Tenakee Springs	GA                    645
		3T4	Tetlin Airport	Tetlin	GA
PATG	TOG	TOG	Togiak Airport	Togiak Village	GA                   2312
PFTO		6K8	Tok Junction Airport	Tok	GA
	TNK	4KA	Tununak Airport	Tununak	GA                   2145
	TWA	A63	Twin Hills Airport	Twin Hills	GA                    199
	UGS	9A8	Ugashik Airport	Ugashik	GA
PAIW	WAA	IWK	Wales Airport	Wales	GA                   1321
PAWS	WWA	IYS	Wasilla Airport	Wasilla	GA
PAWM	WMO	WMO	White Mountain Airport	White Mountain	GA                   1495
PAWR		IEM	Whittier Airport	Whittier	GA
PAUO	WOW	UUO	Willow Airport (also see Willow Seaplane Base)	Willow	GA [nb 14]           1800
	WSM	WSM	Wiseman Airport	Wiseman	GA
		68A	Wrangell Seaplane Base	Wrangell	GA
		2Y3	Yakutat Seaplane Base	Yakutat	GA

	KKI		Akiachak Seaplane Base	Akiachak
		Z33	Aleknagik Seaplane Base	Aleknagik
		Z25	Tripod Airport	Aleknagik
		80A	American Creek Airport	American Creek
		A13	Bold Airport	Anchorage
		3C3	Campbell Lake Seaplane Base	Anchorage
		Z41	Lake Hood Airstrip	Anchorage	                     1366
		Z43	Tamgas Harbor Seaplane Base	Annette
		K40	Anvik Seaplane Base	Anvik
	BQV	BQV	Bartlett Cove Seaplane Base	Bartlett Cove
		Z47	Basin Creek Airport	Basin Creek
	BCC	Z48	Bear Creek 3 Airport	Bear Creek
		Z52	Johnsons Landing Airport	Bear Lake
	JBT	Z59	Bethel Seaplane Base	Bethel
		Z58	Hangar Lake Seaplane Base	Bethel
		2A4	Vor Lake Waterlane Seaplane Base	Bettles
		D71	Beaver Lake Seaplane Base	Big Lake
		L95	Jones Landing Seaplane Base	Big Lake
		5BK	Black Rapids Airport	Black Rapids
PATW		TTW	Cantwell Airport	Cantwell
	CZP	Z71	Cape Pole Seaplane Base	Cape Pole
PACY	CYT	CYT	Yakataga Airport	Cape Yakataga
	CYM	CYM	Chatham Seaplane Base	Chatham	                        8
	KCN	KCN	Chernofski Harbor Seaplane Base	Chernofski Harbor	                        3
	KBW	Z78	Chignik Bay Seaplane Base	Chignik	                      874
	CZO	CZO	Chistochina Airport	Chistochina
	CLF	CLF	Clear Sky Lodge Airport	Clear
		Z86	Clearwater Airport	Clearwater
		Z87	Blinn Lake Seaplane Base	Cold Bay
	JLA	JLA	Quartz Creek Airport	Cooper Landing
	CZC	Z93	Copper Center Airport	Copper Center
		5C5	El Capitan Lodge Seaplane Base	Craig
	DJN	D66	Delta Junction Airport	Delta Junction	                      350
		0Z2	Road Commission Airport	Denali
		0Z3	Shannons Pond Seaplane Base	Dillingham
		D72	D&C Fire Lake Flying Club Seaplane Base	Eagle River
	ELW	1Z9	Ellamar Seaplane Base	Ellamar
	HBH	2Z1	Entrance Island Seaplane Base	Entrance Island
		2Z2	Eureka Creek Airport	Eureka Creek
		2Z3	Eva Creek Airport	Eva Creek	                        1
	EDA		Edna Bay Municipal Airport (or Seaplane Base?)	Edna Bay
		2Z5	Chena River Seaplane Base	Fairbanks
PAAN		AK7	Gold King Creek Airport	Fairbanks
	FAK	2Z6	False Island Seaplane Base	False Island
PAFW	FWL	FWL	Farewell Airport	Farewell	                        7
PAFK		FKK	Farewell Lake Seaplane Base	Farewell Lake
PAFL		TNW	Tin Creek Airport	Farewell Lake
		3Z1	Feather River Airport	Feather River
	KGZ	KGZ	Glacier Creek Airport	Glacier Creek
	GDH	3Z8	Golden Horn Lodge Seaplane Base	Golden Horn Lodge
		4Z2	Upper Hannum Creek Airport	Hannum Creek
	HKB		Healy Lake Airport	Healy Lake
		5BL	Homer-Beluga Lake Seaplane Base	Homer
		4Z5	Horsfeld Airport	Horsfeld
		4Z9	Jakolof Bay Airport	Jakolof Bay
		Z90	Stampede Airport	Kantishna
	KKL	KKL	Karluk Lake Seaplane Base	Karluk Lake
		5KS	Kasilof Airport	Kasilof
		AK5	Encelewski Lake Seaplane Base	Kasilof
		5Z7	Kasitsna Airport	Kasitsna Bay
		5Z9	Lake Brooks Seaplane Base	Katmai National Park	                     2313
		2R3	Island Lake Seaplane Base	Kenai
	WFB	5KE	Ketchikan Harbor Seaplane Base	Ketchikan	[nb 15]             43737
		9C0	Peninsula Point Pullout Seaplane Base	Ketchikan
		9Z3	Kodiak (Lilly Lake) Seaplane Base	Kodiak
		5KO	Koggiung Airport	Koggiung
PAKL	LKK	LKK	Kulik Lake Airport	Kulik Lake	                     1104
		9Z7	Kvichak (Diamond J) Airport	Kvichak
		KWK	Kwigillingok Seaplane Base	Kwigillingok
		13S	Lake Louise Seaplane Base	Lake Louise
		9Z9	Lawing Airport	Lawing
	ALZ	ALZ	Alitak Seaplane Base	Lazy Bay	                      107
	LIV	4AK	Livengood Camp Airport	Livengood	                        4
	WLR	13Z	Loring Seaplane Base	Loring
		AK0	Jakes Bar Airport	McCarthy
		16Z	McGrath Seaplane Base	McGrath
PAIN	MCL	INR	McKinley National Park Airport	McKinley Park
PAMD	MDO	MDO	Middleton Island Airport	Middleton Island
		52Z	Summit Lake Seaplane Base	Moose Pass
