Cab Sav                    	4d0a18	 77  10  24
Indian Tan                 	4d1e01	 77  30   1
Cowboy                     	4d282d	 77  40  45
Livid Brown                	4d282e	 77  40  46
Rock                       	4d3833	 77  56  51
Punga                      	4d3d14	 77  61  20
Bronzetone                 	4d400f	 77  64  15
Woodland                   	4d5328	 77  83  40
Mahogany                   	4e0606	 78   6   6
Bossanova                  	4e2a5a	 78  42  90
Matterhorn                 	4e3b41	 78  59  65
Bronze Olive               	4e420c	 78  66  12
Mulled Wine                	4e4562	 78  69  98
Axolotl                    	4e6649	 78 102  73
Wedgewood                  	4e7f9e	 78 127 158
Shakespeare                	4eabd1	 78 171 209
Honey Flower               	4f1c70	 79  28 112
Daisy Bush                 	4f2398	 79  35 152
Indigo                     	4f69c6	 79 105 198
Fern Green                 	4f7942	 79 121  66
Fruit Salad                	4f9d5d	 79 157  93
Apple                      	4fa83d	 79 168  61
Mortar                     	504351	 80  67  81
Kashmir Blue               	507096	 80 112 150
Cutty Sark                 	507672	 80 118 114
Emerald                    	50c878	 80 200 120
Emperor                    	514649	 81  70  73
Chalet Green               	516e3d	 81 110  61
Como                       	517c66	 81 124 102
Smalt Blue                 	51808f	 81 128 143
Castro                     	52001f	 82   0  31
Maroon Oak                 	520c17	 82  12  23
Gigas                      	523c94	 82  60 148
Voodoo                     	533455	 83  52  85
Victoria                   	534491	 83  68 145
Hippie Green               	53824b	 83 130  75
Heath                      	541012	 84  16  18
Judge Gray                 	544333	 84  67  51
Fuscous Gray               	54534d	 84  83  77
Vida Loca                  	549019	 84 144  25
Cioccolato                 	55280c	 85  40  12
Saratoga                   	555b10	 85  91  16
Finlandia                  	556d56	 85 109  86
Havelock Blue              	5590d9	 85 144 217
Fountain Blue              	56b4be	 86 180 190
Spring Leaves              	578363	 87 131  99
Saddle Brown               	583401	 88  52   1
Scarpa Flow                	585562	 88  85  98
Cactus                     	587156	 88 113  86
Hippie Blue                	589aaf	 88 154 175
Wine Berry                 	591d35	 89  29  53
Brown Bramble              	592804	 89  40   4
Congo Brown                	593737	 89  55  55
Millbrook                  	594433	 89  68  51
Waikawa Gray               	5a6e9c	 90 110 156
Horizon                    	5a87a0	 90 135 160
