Name                                                     	Type	   id	Parent	Children
Johnson City-Kingsport-Bristol (Tri-Cities), TN-VA           	CSA	  304		27740: Johnson City, TN MSA | 28700: Kingsport-Bristol-Bristol, TN-VA MSA
Jonesboro-Paragould, AR                                      	CSA	  308		27860: Jonesboro, AR MSA | 37500: Paragould, AR µSA
Kansas City-Overland Park-Kansas City, MO-KS                 	CSA	  312		11860: Atchison, KS µSA | 28140: Kansas City, MO-KS MSA | 47660: Warrensburg, MO µSA
Knoxville-Sevierville-La Follette, TN                        	CSA	  314		25340: Harriman, TN µSA | 28940: Knoxville, TN MSA | 29220: La Follette, TN µSA | 34100: Morristown, TN MSA | 35460: Newport, TN µSA  | 42940: Sevierville, TN µSA
Kokomo-Peru, IN                                              	CSA	  316		29020: Kokomo, IN MSA | 37940: Peru, IN µSA
Lafayette-Acadiana, LA                                       	CSA	  318		10020: Abbeville, LA µSA | 18940: Crowley, LA µSA | 29180: Lafayette, LA MSA | 35340: New Iberia, LA µSA | 36660: Opelousas-Eunice, LA µSA
Lafayette-Frankfort, IN                                      	CSA	  320		23140: Frankfort, IN µSA | 29140: Lafayette, IN MSA
Lake Charles-Jennings, LA                                    	CSA	  324		27660: Jennings, LA µSA | 29340: Lake Charles, LA MSA
Lansing-East Lansing-Owosso, MI                              	CSA	  330		29620: Lansing-East Lansing, MI MSA | 37020: Owosso, MI µSA
Las Vegas-Paradise-Pahrump, NV                               	CSA	  332		29820: Las Vegas-Paradise, NV MSA | 37220: Pahrump, NV µSA
Lexington+Fayette-Frankfort-Richmond, KY                   	CSA	  336		23180: Frankfort, KY µSA | 30460: Lexington-Fayette, KY MSA | 34460: Mount Sterling, KY µSA | 40080: Richmond-Berea, KY µSA
Lima-Van Wert-Wapakoneta, OH                                 	CSA	  338		30620: Lima, OH MSA | 46780: Van Wert, OH µSA | 47540: Wapakoneta, OH µSA
Little Rock-North Little Rock-Pine Bluff, AR                 	CSA	  340		30780: Little Rock-North Little Rock-Conway, AR MSA | 38220: Pine Bluff, AR MSA | 42620: Searcy, AR µSA
Longview-Marshall, TX                                        	CSA	  346		30980: Longview, TX MSA | 32220: Marshall, TX µSA
Los Angeles-Long Beach-Riverside, CA                         	CSA	  348		31100: Los Angeles-Long Beach-Santa Ana, CA MSA | 37100: Oxnard-Thousand Oaks-Ventura, CA MSA | 40140: Riverside-San Bernardino-Ontario, CA MSA
Louisville/Jefferson County-Elizabethtown-Scottsburg, KY-IN	CSA	  350		21060: Elizabethtown, KY MSA | 31140: Louisville/Jefferson County, KY-IN MSA | 42500: Scottsburg, IN µSA
Lubbock-Levelland, TX                                        	CSA	  352		30220: Levelland, TX µSA | 31180: Lubbock, TX MSA
Lumberton-Laurinburg, NC                                     	CSA	  354		29900: Laurinburg, NC µSA | 31300: Lumberton, NC µSA
Macon-Warner Robins-Fort Valley, GA                          	CSA	  356		22980: Fort Valley, GA µSA | 31420: Macon, GA MSA | 47580: Warner Robins, GA MSA
Madison-Baraboo, WI                                          	CSA	  358		12660: Baraboo, WI µSA | 31540: Madison, WI MSA
Mansfield-Bucyrus, OH                                        	CSA	  360		15340: Bucyrus, OH µSA | 31900: Mansfield, OH MSA
Midland-Odessa, TX                                           	CSA	  372		33260: Midland, TX MSA | 36220: Odessa, TX MSA
