83	Boise City, ID	MSA	650288	616561	5.47	Boise City-Mountain Home-Ontario, ID-OR CSA
84	Wichita, KS	MSA	637394	630919	1.03	Wichita-Arkansas City-Winfield, KS CSA
85	Madison, WI	MSA	627431	605435	3.63	Madison-Janesville-Beloit, WI CSA
86	Springfield, MA	MSA	626915	621570	0.86	Springfield-Greenfield Town, MA CSA
87	Lakeland-Winter Haven, FL	MSA	623009	602095	3.47	
88	Ogden-Clearfield, UT	MSA	621580	597159	4.09	Salt Lake City-Provo-Orem, UT CSA
89	Toledo, OH	MSA	608145	610001	-0.30	Toledo-Port Clinton, OH CSA
90	Deltona-Daytona Beach-Ormond Beach, FL	MSA	600756	590289	1.77	Orlando-Deltona-Daytona Beach, FL CSA
91	Des Moines-West Des Moines, IA	MSA	599789	569633	5.29	Des Moines-Ames-West Des Moines, IA CSA
92	Augusta-Richmond County, GA-SC	MSA	580270	564873	2.73	
93	Jackson, MS	MSA	576382	567122	1.63	Jackson-Vicksburg-Brookhaven, MS CSA
94	Provo-Orem, UT	MSA	562239	526810	6.73	Salt Lake City-Provo-Orem, UT CSA
95	Scranton-Wilkes-Barre-Hazleton, PA	MSA	562037	563631	-0.28	
96	Harrisburg-Carlisle, PA	MSA	557711	549475	1.50	Harrisburg-York-Lebanon, PA CSA
97	Youngstown-Warren-Boardman, OH-PA	MSA	555506	565773	-1.81	Youngstown-Warren, OH-PA CSA
98	Palm Bay-Melbourne-Titusville, FL	MSA	550823	543376	1.37	
99	Chattanooga, TN-GA	MSA	541744	528143	2.58	Chattanooga-Cleveland-Dalton, TN-GA-AL CSA
100	Spokane-Spokane Valley, WA	MSA	535724	527753	1.51	Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA
101	Durham-Chapel Hill, NC	MSA	534578	504357	5.99	Raleigh-Durham-Chapel Hill, NC CSA
102	Lancaster, PA	MSA	529600	519445	1.95	
103	Modesto, CA	MSA	525491	514453	2.15	Modesto-Merced, CA CSA
104	Portland-South Portland, ME	MSA	519900	514098	1.13	Portland-Lewiston-South Portland, ME CSA
105	Santa Rosa, CA	MSA	495025	483878	2.30	San Jose-San Francisco-Oakland, CA CSA
106	Fayetteville-Springdale-Rogers, AR-MO	MSA	491966	463204	6.21	
107	Lexington-Fayette, KY	MSA	489435	472099	3.67	Lexington-Fayette-Richmond-Frankfort, KY CSA
108	Lafayette, LA	MSA	479116	466750	2.65	Lafayette-Opelousas-Morgan City, LA CSA
109	Lansing-East Lansing, MI	MSA	467321	464036	0.71	Lansing-East Lansing-Owosso, MI CSA
110	Pensacola-Ferry Pass-Brent, FL	MSA	466913	448991	3.99	
111	Visalia-Porterville, CA	MSA	454143	442179	2.71	Visalia-Porterville-Hanford, CA CSA
112	Springfield, MO	MSA	448744	436712	2.76	Springfield-Branson, MO CSA
113	Shreveport-Bossier City, LA	MSA	446471	439811	1.51	
114	Corpus Christi, TX	MSA	442600	428185	3.37	Corpus Christi-Kingsville-Alice, TX CSA
115	York-Hanover, PA	MSA	438965	434972	0.92	Harrisburg-York-Lebanon, PA CSA
116	Port St. Lucie, FL	MSA	438095	424107	3.30	Miami-Fort Lauderdale-Port St. Lucie, FL CSA
117	Reno, NV	MSA	437673	425417	2.88	Reno-Carson City-Fernley, NV CSA
118	Asheville, NC	MSA	437657	424858	3.01	Asheville-Brevard, NC CSA
119	Huntsville, AL	MSA	435737	417593	4.34	Huntsville-Decatur-Albertville, AL CSA
120	Santa Maria-Santa Barbara, CA	MSA	435697	423895	2.78	
121	Salinas, CA	MSA	428826	415057	3.32	
122	Vallejo-Fairfield, CA	MSA	424788	413344	2.77	San Jose-San Francisco-Oakland, CA CSA
123	Fort Wayne, IN	MSA	424122	416257	1.89	Fort Wayne-Huntington-Auburn, IN CSA
124	Killeen-Temple, TX	MSA	423257	405300	4.43	
125	Brownsville-Harlingen, TX	MSA	417276	406220	2.72	Brownsville-Harlingen-Raymondville, TX CSA
126	Flint, MI	MSA	415376	425790	-2.45	Detroit-Warren-Ann Arbor, MI CSA
127	Mobile, AL	MSA	414079	412992	0.26	Mobile-Daphne-Fairhope, AL CSA
128	Reading, PA	MSA	413521	411442	0.51	Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA
129	Myrtle Beach-Conway-North Myrtle Beach, SC-NC	MSA	404951	376722	7.49	Myrtle Beach-Conway, SC-NC CSA
130	Beaumont-Port Arthur, TX	MSA	404872	403190	0.42	
131	Manchester-Nashua, NH	MSA	403895	400721	0.79	Boston-Worcester-Providence, MA-RI-NH-CT CSA
132	Canton-Massillon, OH	MSA	403707	404422	-0.18	Cleveland-Akron-Canton, OH CSA
133	Salem, OR	MSA	400408	390738	2.47	Portland-Vancouver-Salem, OR-WA CSA
134	Anchorage, AK	MSA	396142	380821	4.02	
135	Salisbury, MD-DE	MSA	385438	373802	3.11	
136	Davenport-Moline-Rock Island, IA-IL	MSA	383681	379690	1.05	Davenport-Moline, IA-IL CSA
137	Gulfport-Biloxi-Pascagoula, MS	MSA	382516	370702	3.19	
138	Peoria, IL	MSA	382114	379186	0.77	Peoria-Canton, IL CSA
139	Fayetteville, NC	MSA	377193	366383	2.95	Fayetteville-Lumberton-Laurinburg, NC CSA
140	Montgomery, AL	MSA	373510	374536	-0.27	
141	Tallahassee, FL	MSA	373255	367413	1.59	Tallahassee-Bainbridge, FL-GA CSA
142	Trenton, NJ	MSA	370414	366513	1.06	New York-Newark, NY-NJ-CT-PA CSA
143	Savannah, GA	MSA	366047	347611	5.30	Savannah-Hinesville-Statesboro, GA CSA
144	Huntington-Ashland, WV-KY-OH	MSA	364101	364908	-0.22	Charleston-Huntington-Ashland, WV-OH-KY CSA
145	Hickory-Lenoir-Morganton, NC	MSA	363572	365497	-0.53	Hickory-Lenoir, NC CSA
146	Eugene, OR	MSA	356212	351715	1.28	
147	Ann Arbor, MI	MSA	354240	344791	2.74	Detroit-Warren-Ann Arbor, MI CSA
148	Rockford, IL	MSA	344623	349431	-1.38	Rockford-Freeport-Rochelle, IL CSA
149	Naples-Immokalee-Marco Island, FL	MSA	339642	321520	5.64	Cape Coral-Fort Myers-Naples, FL CSA
