Rank	Name                                                    	Population	Area km^2	pop/km^2
 353	Wheeling, WV--OH                                        	     81249	   121.8	   667.3
 354	St. Joseph, MO--KS                                      	     81176	   108.4	   749.0
 355	Homosassa Springs--Beverly Hills--Citrus Springs, FL    	     80962	   234.3	   345.6
 356	Juana Díaz, PR                                          	     80928	   123.8	   653.6
 357	Hattiesburg, MS                                         	     80358	   178.7	   449.7
 358	Guayama, PR                                             	     80155	   105.5	   759.8
 359	Altoona, PA                                             	     79930	    96.8	   825.3
 360	Anniston--Oxford, AL                                    	     79796	   224.7	   355.1
 361	Lafayette--Louisville--Erie, CO                         	     79407	   102.4	   775.6
 362	Madera, CA                                              	     78413	    58.0	  1352.1
 363	Battle Creek, MI                                        	     78393	   137.3	   570.9
 364	Bowling Green, KY                                       	     78306	   117.6	   665.9
 365	Texarkana--Texarkana, TX--AR                            	     78162	   166.8	   468.6
 366	Lebanon, PA                                             	     77086	   116.7	   660.3
 367	Valdosta, GA                                            	     77085	   144.3	   534.2
 368	Florence, AL                                            	     77074	   160.9	   478.9
 369	Newark, OH                                              	     76068	   109.1	   697.2
 370	Anderson, SC                                            	     75702	   191.9	   394.5
 371	Williamsburg, VA                                        	     75689	   144.8	   522.6
 372	Mansfield, OH                                           	     75250	   130.3	   577.4
 373	Lake Jackson--Angleton, TX                              	     74830	   108.0	   693.0
 374	Auburn, AL                                              	     74741	   129.3	   578.2
 375	Wausau, WI                                              	     74632	   121.4	   614.8
 376	Oshkosh, WI                                             	     74495	    79.8	   933.7
 377	Cheyenne, WY                                            	     73588	    91.0	   808.7
 378	Watsonville, CA                                         	     73534	    59.2	  1243.1
 379	Elizabethtown--Radcliff, KY                             	     73467	   147.5	   498.0
 380	Sumter, SC                                              	     73107	   170.1	   429.7
 381	Lima, OH                                                	     72852	   135.6	   537.4
 382	Davis, CA                                               	     72794	    36.6	  1991.0
 383	Westminster--Eldersburg, MD                             	     72714	   149.4	   486.6
 384	Flagstaff, AZ                                           	     71957	    90.2	   797.8
 385	Jackson, TN                                             	     71880	   132.5	   542.7
 386	Camarillo, CA                                           	     71772	    57.0	  1259.9
 387	Florida--Imbery--Barceloneta, PR                        	     71747	   118.6	   604.7
 388	Sheboygan, WI                                           	     71313	    86.6	   823.5
 389	Weirton--Steubenville, WV--OH--PA                       	     70889	   130.8	   541.9
 390	Bay City, MI                                            	     70585	   104.4	   675.8
 391	Owensboro, KY                                           	     70543	    87.6	   805.4
 392	Decatur, AL                                             	     70436	   151.0	   466.6
 393	Morgantown, WV                                          	     70350	    97.1	   724.4
 394	Porterville, CA                                         	     70272	    53.1	  1322.6
 395	Pocatello, ID                                           	     69809	    80.3	   869.2
 396	Janesville, WI                                          	     69658	    79.7	   873.9
 397	Bristol--Bristol, TN--VA                                	     69501	   165.5	   420.0
 398	Winchester, VA                                          	     69449	    96.3	   721.1
 399	St. Augustine, FL                                       	     69173	   111.5	   620.3
 400	Johnstown, PA                                           	     69014	   100.0	   690.1
 401	Hilton Head Island, SC                                  	     68998	   175.1	   394.0
 402	Dothan, AL                                              	     68781	   143.7	   478.5
 403	Lodi, CA                                                	     68738	    41.2	  1668.1
